| Economy | Switzerland |
| Ease of Doing Business Index scores: | 96.1 (2020) |
| Agriculture - products: | grains, fruits, vegetables; meat, eggs, dairy products |
| Industries: | machinery, chemicals, watches, textiles, precision instruments, tourism, banking, insurance, pharmaceuticals |
| Industrial production growth rate: | 3.4% (2017 est.) |
| Labor force: | 5.067 million (2020 est.) |
| Labor force - by occupation: | agriculture: 3.3% |
| Labor force - by occupation: | industry: 19.8% |
| Labor force - by occupation: | services: 76.9% (2015) |
| Unemployment rate: | 2.31% (2019 est.) |
| Unemployment rate: | 2.55% (2018 est.) |
| Population below poverty line: | 6.6% (2014 est.) |
| Household income or consumption by percentage share: | lowest 10%: 7.5% |
| Household income or consumption by percentage share: | highest 10%: 19% (2007) |
| Budget: | revenues: 242.1 billion (2017 est.) |
| Budget: | expenditures: 234.4 billion (2017 est.) |
| Budget: | note: includes federal, cantonal, and municipal budgets |
| Taxes and other revenues: | 35.7% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | 1.1% (of GDP) (2017 est.) |
| Public debt: | 41.8% of GDP (2017 est.) |
| Public debt: | 41.8% of GDP (2016 est.) |
| Public debt: | note: general government gross debt; gross debt consists of all liabilities that require payment or payments of interest and/or principal by the debtor to the creditor at a date or dates in the future; includes debt liabilities in the form of Special Drawing Rights (SDRs), currency and deposits, debt securities, loans, insurance, pensions and standardized guarantee schemes, and other accounts payable; all liabilities in the GFSM (Government Financial Systems Manual) 2001 system are debt, except for equity and investment fund shares and financial derivatives and employee stock options |
| Fiscal year: | calendar year |
| Current account balance: | $79.937 billion (2019 est.) |
| Current account balance: | $63.273 billion (2018 est.) |
| Exports: | $443.997 billion (2019 est.) |
| Exports: | $444.605 billion (2018 est.) |
| Exports: | $430.129 billion (2017 est.) |
| Exports: | note: trade data exclude trade with Switzerland |
| Exports - partners: | Germany 15.2%, US 12.3%, China 8.2%, India 6.7%, France 5.7%, UK 5.7%, Hong Kong 5.4%, Italy 5.3% (2017) |
| Exports - commodities: | machinery, chemicals, metals, watches, agricultural products |
| Imports: | $344.477 billion (2019 est.) |
| Imports: | $344.557 billion (2018 est.) |
| Imports: | $343.367 billion (2017 est.) |
| Imports - commodities: | machinery, chemicals, vehicles, metals; agricultural products, textiles |
| Imports - partners: | Germany 20.9%, US 7.9%, Italy 7.6%, UK 7.3%, France 6.8%, China 5% (2017) |
| Reserves of foreign exchange and gold: | $811.2 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $679.3 billion (31 December 2016 est.) |
| Debt - external: | $1.664 trillion (31 March 2016 est.) |
| Debt - external: | $1.663 trillion (31 March 2015 est.) |
| Exchange rates: | Swiss francs (CHF) per US dollar - |
| Exchange rates: | 0.88995 (2020 est.) |
| Exchange rates: | 0.98835 (2019 est.) |
| Exchange rates: | 0.99195 (2018 est.) |
| Exchange rates: | 0.9627 (2014 est.) |
| Exchange rates: | 0.9152 (2013 est.) |
