| Economy | SWITZERLAND |
| Inflation rate (consumer prices): | -1.1% (2015 est.) |
| Inflation rate (consumer prices): | 0% (2014 est.) |
| Central bank discount rate: | 0.5% (31 December 2010) |
| Central bank discount rate: | 0.75% (31 December 2009) |
| Commercial bank prime lending rate: | 2.68% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 2.69% (31 December 2014 est.) |
| Stock of narrow money: | $508.2 billion (31 December 2015 est.) |
| Stock of narrow money: | $514.1 billion (31 December 2014 est.) |
| Stock of broad money: | $1.347 trillion (31 December 2014 est.) |
| Stock of broad money: | $1.301 trillion (31 December 2013 est.) |
| Stock of domestic credit: | $1.142 trillion (31 December 2015 est.) |
| Stock of domestic credit: | $1.138 trillion (31 December 2014 est.) |
| Market value of publicly traded shares: | $1.079 trillion (31 December 2015 est.) |
| Market value of publicly traded shares: | $932.2 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $1.229 trillion (31 December 2013 est.) |
| Current account balance: | $75.82 billion (2015 est.) |
| Current account balance: | $61.9 billion (2014 est.) |
| Exports: | $303.5 billion (2015 est.) |
| Exports: | $327.7 billion (2014 est.) |
| Exports: | note: trade data exclude trade with Switzerland |
| Exports - commodities: | machinery, chemicals, metals, watches, agricultural products |
| Exports - partners: | Germany 14.2%, US 10.6%, Hong Kong 8.7%, India 7.3%, China 6.9%, France 6.1%, Italy 5.4%, UK 4.8% (2015) |
| Imports: | $247.7 billion (2015 est.) |
| Imports: | $273.8 billion (2014 est.) |
| Imports - commodities: | machinery, chemicals, vehicles, metals; agricultural products, textiles |
| Imports - partners: | Germany 20.7%, UK 12.8%, US 8.1%, Italy 7.8%, France 6.7%, China 5.1% (2015) |
| Reserves of foreign exchange and gold: | $602.7 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $545.5 billion (31 December 2014 est.) |
| Debt - external: | $1.533 trillion (31 December 2014 est.) |
| Debt - external: | $1.601 trillion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $1.262 trillion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $1.157 trillion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $1.498 trillion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $1.426 trillion (31 December 2014 est.) |
| Exchange rates: | Swiss francs (CHF) per US dollar - |
| Exchange rates: | 0.9627 (2015 est.) |
| Exchange rates: | 0.9152 (2014 est.) |
| Exchange rates: | 0.9152 (2013 est.) |
| Exchange rates: | 0.94 (2012 est.) |
| Exchange rates: | 0.8876 (2011 est.) |
