| Economy | Switzerland |
| Public debt: | note: general government gross debt; gross debt consists of all liabilities that require payment or payments of interest and/or principal by the debtor to the creditor at a date or dates in the future; includes debt liabilities in the form of Special Drawing Rights (SDRs), currency and deposits, debt securities, loans, insurance, pensions and standardized guarantee schemes, and other accounts payable; all liabilities in the GFSM (Government Financial Systems Manual) 2001 system are debt, except for equity and investment fund shares and financial derivatives and employee stock options |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 0.5% (2017 est.) |
| Inflation rate (consumer prices): | -0.4% (2016 est.) |
| Central bank discount rate: | 0.5% (31 December 2016) |
| Central bank discount rate: | 0.75% (31 December 2009) |
| Commercial bank prime lending rate: | 2.6% (31 December 2017 est.) |
| Commercial bank prime lending rate: | 2.65% (31 December 2016 est.) |
| Stock of narrow money: | $621.8 billion (31 December 2017 est.) |
| Stock of narrow money: | $555.7 billion (31 December 2016 est.) |
| Stock of broad money: | $621.8 billion (31 December 2017 est.) |
| Stock of broad money: | $555.7 billion (31 December 2016 est.) |
| Stock of domestic credit: | $1.253 trillion (31 December 2017 est.) |
| Stock of domestic credit: | $1.166 trillion (31 December 2016 est.) |
| Market value of publicly traded shares: | $1.519 trillion (31 December 2015 est.) |
| Market value of publicly traded shares: | $1.495 trillion (31 December 2014 est.) |
| Market value of publicly traded shares: | $1.541 trillion (31 December 2013 est.) |
| Current account balance: | $66.55 billion (2017 est.) |
| Current account balance: | $63.16 billion (2016 est.) |
| Exports: | $313.5 billion (2017 est.) |
| Exports: | $318.1 billion (2016 est.) |
| Exports: | note: trade data exclude trade with Switzerland |
| Exports - partners: | Germany 15.2%, US 12.3%, China 8.2%, India 6.7%, France 5.7%, UK 5.7%, Hong Kong 5.4%, Italy 5.3% (2017) |
| Exports - commodities: | machinery, chemicals, metals, watches, agricultural products |
| Imports: | $264.5 billion (2017 est.) |
| Imports: | $266.3 billion (2016 est.) |
| Imports - commodities: | machinery, chemicals, vehicles, metals; agricultural products, textiles |
| Imports - partners: | Germany 20.9%, US 7.9%, Italy 7.6%, UK 7.3%, France 6.8%, China 5% (2017) |
| Reserves of foreign exchange and gold: | $811.2 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $679.3 billion (31 December 2016 est.) |
| Debt - external: | $1.664 trillion (31 March 2016 est.) |
| Debt - external: | $1.663 trillion (31 March 2015 est.) |
| Stock of direct foreign investment - at home: | $1.489 trillion (31 December 2017 est.) |
| Stock of direct foreign investment - at home: | $1.217 trillion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $1.701 trillion (31 December 2017 est.) |
| Stock of direct foreign investment - abroad: | $1.528 trillion (31 December 2016 est.) |
| Exchange rates: | Swiss francs (CHF) per US dollar - |
| Exchange rates: | 0.9875 (2017 est.) |
| Exchange rates: | 0.9852 (2016 est.) |
| Exchange rates: | 0.9852 (2015 est.) |
| Exchange rates: | 0.9627 (2014 est.) |
| Exchange rates: | 0.9152 (2013 est.) |
