| Economy | PORTUGAL |
| Industrial production growth rate: | 1% (2015 est.) |
| Labor force: | 5.195 million (2015 est.) |
| Labor force - by occupation: | agriculture: 8.6% |
| Labor force - by occupation: | industry: 23.9% |
| Labor force - by occupation: | services: 67.5% (2014 est.) |
| Unemployment rate: | 12.4% (2015 est.) |
| Unemployment rate: | 13.9% (2014 est.) |
| Population below poverty line: | 18.7% (2012 est.) |
| Household income or consumption by percentage share: | lowest 10%: 3.1% |
| Household income or consumption by percentage share: | highest 10%: 28.4% (1995 est.) |
| Distribution of family income - Gini index: | 34.2 (2013 est.) |
| Distribution of family income - Gini index: | 34.2 (2012 est.) |
| Budget: | revenues: $87.3 billion |
| Budget: | expenditures: $96.05 billion (2015 est.) |
| Taxes and other revenues: | 43.9% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -4.4% of GDP (2015 est.) |
| Public debt: | 129% of GDP (2015 est.) |
| Public debt: | 130.2% of GDP (2014 est.) |
| Public debt: | note: data cover general government debt, and includes debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 0.5% (2015 est.) |
| Inflation rate (consumer prices): | -0.2% (2014 est.) |
| Central bank discount rate: | 0.05% (31 December 2014) |
| Central bank discount rate: | 0.25% (31 December 2013) |
| Central bank discount rate: | note: this is the European Central Bank's rate on the marginal lending facility, which offers overnight credit to banks in the euro area |
| Commercial bank prime lending rate: | 4.49% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 5.3% (31 December 2014 est.) |
| Stock of narrow money: | $72.29 billion (31 December 2015 est.) |
| Stock of narrow money: | $66.76 billion (31 December 2014 est.) |
| Stock of narrow money: | note: see entry for the European Union for money supply for the entire euro area; the European Central Bank (ECB) controls monetary policy for the 18 members of the Economic and Monetary Union (EMU); individual members of the EMU do not control the quantity of money circulating within their own borders |
| Stock of broad money: | $296.1 billion (31 December 2014 est.) |
| Stock of broad money: | $316.2 billion (31 December 2013 est.) |
| Stock of domestic credit: | $326.2 billion (31 December 2015 est.) |
| Stock of domestic credit: | $364.9 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $126.8 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $57.04 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $65.53 billion (31 December 2013 est.) |
| Current account balance: | $901 million (2015 est.) |
| Current account balance: | $280 million (2014 est.) |
| Exports: | $54.33 billion (2015 est.) |
| Exports: | $62.72 billion (2014 est.) |
| Exports - commodities: | agricultural products, foodstuffs, wine, oil products, chemical products, plastics and rubber, hides, leather, wood and cork, wood pulp and paper, textile materials, clothing, footwear, machinery and tools, base metals |
| Exports - partners: | Spain 25%, France 12.1%, Germany 11.8%, UK 6.7%, US 5.2%, Angola 4.2%, Netherlands 4% (2015) |
| Imports: | $64.49 billion (2015 est.) |
| Imports: | $75.29 billion (2014 est.) |
| Imports - commodities: | agricultural products, chemical products, vehicles and other transport material, optical and precision instruments, computer accessories and parts, semiconductors and related devices, oil products, base metals, food products, textile materials |
| Imports - partners: | Spain 32.9%, Germany 12.9%, France 7.4%, Italy 5.4%, Netherlands 5.1% (2015) |
| Reserves of foreign exchange and gold: | $19.4 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $19.62 billion (31 December 2014 est.) |
| Debt - external: | $493.7 billion (31 December 2014 est.) |
| Debt - external: | $531.6 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $138.1 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $153.7 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $87.44 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $95.58 billion (31 December 2014 est.) |
| Exchange rates: | euros (EUR) per US dollar - |
| Exchange rates: | 0.885 (2015 est.) |
| Exchange rates: | 0.7525 (2014 est.) |
| Exchange rates: | 0.7634 (2013 est.) |
| Exchange rates: | 0.78 (2012 est.) |
| Exchange rates: | 0.7185 (2011 est.) |
