| Economy | Iran |
| Unemployment rate: | 15.5% (2012 est.) |
| Unemployment rate: | 14.1% (2011 est.) |
| Unemployment rate: | note: data are according to the Iranian Government |
| Population below poverty line: | 18.7% (2007 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.6% |
| Household income or consumption by percentage share: | highest 10%: 29.6% (2005) |
| Distribution of family income - Gini index: | 44.5 (2006) |
| Budget: | revenues: $79.69 billion |
| Budget: | expenditures: $92.63 billion (2012 est.) |
| Taxes and other revenues: | 14.7% of GDP (2012 est.) |
| Budget surplus (+) or deficit (-): | -2.4% of GDP (2012 est.) |
| Public debt: | 18.4% of GDP (2012 est.) |
| Public debt: | 13.9% of GDP (2011 est.) |
| Public debt: | note: includes publicly guaranteed debt |
| Fiscal year: | 21 March - 20 March |
| Inflation rate (consumer prices): | 19.9% (2012 est.) |
| Inflation rate (consumer prices): | 20.6% (2011 est.) |
| Inflation rate (consumer prices): | note: official Iranian estimate |
| Central bank discount rate: | NA% |
| Commercial bank prime lending rate: | 11% (31 December 2012 est.) |
| Commercial bank prime lending rate: | 11.25% (31 December 2011 est.) |
| Stock of narrow money: | $42.91 billion (31 December 2012 est.) |
| Stock of narrow money: | $40.06 billion (31 December 2011 est.) |
| Stock of broad money: | $199.9 billion (31 December 2012 est.) |
| Stock of broad money: | $183.5 billion (31 December 2011 est.) |
| Stock of domestic credit: | $77.74 billion (31 December 2012 est.) |
| Stock of domestic credit: | $77.6 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $107.2 billion (31 December 2011) |
| Market value of publicly traded shares: | $86.62 billion (31 December 2010) |
| Market value of publicly traded shares: | $63.3 billion (31 December 2009) |
| Current account balance: | $-9.307 billion (2012 est.) |
| Current account balance: | $59.38 billion (2011 est.) |
| Exports: | $67.04 billion (2012 est.) |
| Exports: | $144.9 billion (2011 est.) |
| Exports - commodities: | petroleum 80%, chemical and petrochemical products, fruits and nuts, carpets |
| Exports - partners: | China 22.1%, India 11.9%, Turkey 10.6%, South Korea 7.6%, Japan 7.1% (2012) |
| Imports: | $70.03 billion (2012 est.) |
| Imports: | $77.81 billion (2011 est.) |
| Imports - commodities: | industrial supplies, capital goods, foodstuffs and other consumer goods, technical services |
| Imports - partners: | UAE 33.2%, China 13.8%, Turkey 11.8%, South Korea 7.4% (2012) |
| Reserves of foreign exchange and gold: | $74.06 billion (31 December 2012 est.) |
| Reserves of foreign exchange and gold: | $84.06 billion (31 December 2011 est.) |
| Debt - external: | $14.84 billion (31 December 2012 est.) |
| Debt - external: | $19.11 billion (31 December 2011 est.) |
| Stock of direct foreign investment - at home: | $37.31 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $32.44 billion (31 December 2011 est.) |
| Stock of direct foreign investment - abroad: | $3.345 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $2.915 billion (31 December 2011 est.) |
| Exchange rates: | Iranian rials (IRR) per US dollar - |
| Exchange rates: | 12,175.5 (2012 est.) |
| Exchange rates: | 10,616.3 (2011 est.) |
| Exchange rates: | 10,254.18 (2010 est.) |
| Exchange rates: | 9,864.3 (2009) |
| Exchange rates: | 9,142.8 (2008) |
