| Economy | IRAN |
| Exports: | $86.47 billion (2014 est.) |
| Exports - commodities: | petroleum 80%, chemical and petrochemical products, fruits and nuts, carpets, cement, ore |
| Exports - partners: | China 22.2%, India 9.9%, Turkey 8.4%, Japan 4.5% (2015) |
| Imports: | $52.42 billion (2015 est.) |
| Imports: | $65.08 billion (2014 est.) |
| Imports - commodities: | industrial supplies, capital goods, foodstuffs and other consumer goods, technical services |
| Imports - partners: | UAE 39.6%, China 22.4%, South Korea 4.7%, Turkey 4.6% (2015) |
| Reserves of foreign exchange and gold: | $110 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $109 billion (31 December 2014 est.) |
| Debt - external: | $5.348 billion (31 December 2015 est.) |
| Debt - external: | $5.495 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $43.05 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $43.05 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $4.097 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $4.096 billion (31 December 2014 est.) |
| Exchange rates: | Iranian rials (IRR) per US dollar - |
| Exchange rates: | 29,011.5 (2015 est.) |
| Exchange rates: | 25,941.7 (2014 est.) |
| Exchange rates: | 25,912 (2013 est.) |
| Exchange rates: | 12,176 (2012 est.) |
| Exchange rates: | 10,616 (2011 est.) |
