| Economy | IRAN |
| Inflation rate (consumer prices): | 39.3% (2013 est.) |
| Inflation rate (consumer prices): | note: official Iranian estimate |
| Central bank discount rate: | NA% |
| Commercial bank prime lending rate: | 11.3% (31 December 2014 est.) |
| Commercial bank prime lending rate: | 11% (31 December 2013 est.) |
| Stock of narrow money: | $26.39 billion (31 December 2014 est.) |
| Stock of narrow money: | $26.54 billion (31 December 2013 est.) |
| Stock of broad money: | $67.42 billion (31 December 2014 est.) |
| Stock of broad money: | $62.19 billion (31 December 2013 est.) |
| Stock of domestic credit: | $45.21 billion (31 December 2014 est.) |
| Stock of domestic credit: | $42.7 billion (31 December 2013 est.) |
| Market value of publicly traded shares: | $172 billion (31 December 2013 est.) |
| Market value of publicly traded shares: | $140.8 billion (31 December 2012) |
| Market value of publicly traded shares: | $107.2 billion (31 December 2011 est.) |
| Current account balance: | $15.41 billion (2014 est.) |
| Current account balance: | $27.97 billion (2013 est.) |
| Exports: | $95.71 billion (2014 est.) |
| Exports: | $93.02 billion (2013 est.) |
| Exports - commodities: | petroleum 80%, chemical and petrochemical products, fruits and nuts, carpets, cement, ore |
| Exports - partners: | China 29%, India 11.9%, Turkey 10.4%, Japan 6.5%, South Korea 4.8% (2014) |
| Imports: | $61.25 billion (2014 est.) |
| Imports: | $60.05 billion (2013 est.) |
| Imports - commodities: | industrial supplies, capital goods, foodstuffs and other consumer goods, technical services |
| Imports - partners: | UAE 30.6%, China 25.5%, Algeria 8.3%, India 4.6%, South Korea 4.4%, Turkey 4.1% (2014) |
| Reserves of foreign exchange and gold: | $110 billion (31 December 2014 est.) |
| Reserves of foreign exchange and gold: | $108 billion (31 December 2013 est.) |
| Debt - external: | $10.17 billion (31 December 2014 est.) |
| Debt - external: | $10.63 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $43.5 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $40.36 billion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $4.045 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $3.725 billion (31 December 2013 est.) |
| Exchange rates: | Iranian rials (IRR) per US dollar - |
| Exchange rates: | 25,780.2 (2014 est.) |
| Exchange rates: | 18,414.4 (2013 est.) |
| Exchange rates: | 12,175.5 (2012 est.) |
| Exchange rates: | 10,616.3 (2011 est.) |
| Exchange rates: | 10,254.18 (2010 est.) |
