| Economy | IRAN |
| Exports - commodities: | petroleum 80%, chemical and petrochemical products, fruits and nuts, carpets, cement, ore |
| Exports - partners: | China 30.1%, India 16.7%, South Korea 9.7%, Turkey 9.5%, Japan 6.8% (2016) |
| Imports: | $63.14 billion (2016 est.) |
| Imports: | $52.42 billion (2015 est.) |
| Imports - commodities: | industrial supplies, capital goods, foodstuffs and other consumer goods, technical services |
| Imports - partners: | UAE 27.4%, China 13.2%, Turkey 7.8%, South Korea 4.3%, Germany 4% (2016) |
| Reserves of foreign exchange and gold: | $133.7 billion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $116 billion (31 December 2015 est.) |
| Debt - external: | $8.196 billion (31 December 2016 est.) |
| Debt - external: | $6.321 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $46.02 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $43.05 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $4.656 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $4.097 billion (31 December 2015 est.) |
| Exchange rates: | Iranian rials (IRR) per US dollar - |
| Exchange rates: | 30,914.9 (2016 est.) |
| Exchange rates: | 30,914.9 (2015 est.) |
| Exchange rates: | 29,011.5 (2014 est.) |
| Exchange rates: | 25,912 (2013 est.) |
| Exchange rates: | 12,176 (2012 est.) |
