| Economy | GEORGIA |
| Exports - partners: | Azerbaijan 10.9%, Bulgaria 9.7%, Turkey 8.4%, Armenia 8.2%, Russia 7.4%, China 5.7%, US 4.7%, Uzbekistan 4.4% (2015) |
| Imports: | $7.363 billion (2015 est.) |
| Imports: | $8.29 billion (2014 est.) |
| Imports - commodities: | fuels, vehicles, machinery and parts, grain and other foods, pharmaceuticals |
| Imports - partners: | Turkey 17.2%, Russia 8.1%, China 7.6%, Azerbaijan 7%, Ireland 5.9%, Ukraine 5.9%, Germany 5.6% (2015) |
| Reserves of foreign exchange and gold: | $2.521 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $2.699 billion (31 December 2014 est.) |
| Debt - external: | $13.31 billion (31 December 2015 est.) |
| Debt - external: | $13.91 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $12.64 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $12.9 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $1.773 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $1.868 billion (31 December 2014 est.) |
| Exchange rates: | laris (GEL) per US dollar - |
| Exchange rates: | 2.2694 (2015 est.) |
| Exchange rates: | 1.7657 (2014 est.) |
| Exchange rates: | 1.7657 (2013 est.) |
| Exchange rates: | 1.65 (2012 est.) |
| Exchange rates: | 1.6865 (2011 est.) |
