| Economy | Georgia |
| GDP - composition, by end use: | household consumption: 68.6% |
| GDP - composition, by end use: | government consumption: 19% |
| GDP - composition, by end use: | investment in fixed capital: 23.6% |
| GDP - composition, by end use: | investment in inventories: 3.2% |
| GDP - composition, by end use: | exports of goods and services: 39.9% |
| GDP - composition, by end use: | imports of goods and services: -54.4% |
| GDP - composition, by end use: | (2013 est.) |
| GDP - composition, by sector of origin: | agriculture: 8.5% |
| GDP - composition, by sector of origin: | industry: 21.6% |
| GDP - composition, by sector of origin: | services: 69.9% (2013 est.) |
| Agriculture - products: | citrus, grapes, tea, hazelnuts, vegetables; livestock |
| Industries: | steel, machine tools, electrical appliances, mining (manganese, copper, gold), chemicals, wood products, wine |
| Industrial production growth rate: | 3% (2013 est.) |
| Labor force: | 1.959 million (2011 est.) |
| Labor force - by occupation: | agriculture: 55.6% |
| Labor force - by occupation: | industry: 8.9% |
| Labor force - by occupation: | services: 35.5% (2006 est.) |
| Unemployment rate: | 15% (2013 est.) |
| Unemployment rate: | 15.1% (2011 est.) |
| Population below poverty line: | 9.2% (2010) |
| Household income or consumption by percentage share: | lowest 10%: 2% |
| Household income or consumption by percentage share: | highest 10%: 31.3% (2008) |
| Distribution of family income - Gini index: | 46 (2011) |
| Distribution of family income - Gini index: | 37.1 (1996) |
| Budget: | revenues: $4.834 billion |
| Budget: | expenditures: $5.257 billion (2013 est.) |
| Taxes and other revenues: | 30.3% of GDP (2013 est.) |
| Budget surplus (+) or deficit (-): | -2.7% of GDP (2013 est.) |
| Public debt: | 36.3% of GDP (2012 est.) |
| Public debt: | 36.5% of GDP (2011 est.) |
| Public debt: | note: data cover general government debt, and includes debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities; Georgia does not maintain intra-governmental debt or social funds |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | -0.5% (2013 est.) |
| Inflation rate (consumer prices): | -0.9% (2012 est.) |
| Central bank discount rate: | 3.75% (15 January 2013) |
| Central bank discount rate: | 5.25% (31 December 2012) |
| Central bank discount rate: | note: this is the Refinancing Rate, the key monetary policy rate of the National Bank of Georgia |
| Commercial bank prime lending rate: | 20.7% (31 December 2013 est.) |
| Commercial bank prime lending rate: | 22.08% (31 December 2012 est.) |
| Stock of narrow money: | $2.025 billion (31 December 2013 est.) |
| Stock of narrow money: | $1.965 billion (31 December 2012 est.) |
| Stock of broad money: | $4.72 billion (31 September 2012 est.) |
| Stock of broad money: | $4.249 billion (31 December 2011 est.) |
| Stock of domestic credit: | $5.96 billion (31 December 2013 est.) |
| Stock of domestic credit: | $5.518 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $943.4 million (31 December 2012 est.) |
| Market value of publicly traded shares: | $NA (31 December 2011) |
| Market value of publicly traded shares: | $NA (31 December 2010 est.) |
| Current account balance: | -$1.375 billion (2013 est.) |
| Current account balance: | -$1.875 billion (2012 est.) |
| Exports: | $2.618 billion (2013 est.) |
| Exports: | $2.377 billion (2012 est.) |
| Exports - commodities: | vehicles, ferro-alloys, fertilizers, nuts, scrap metal, gold, copper ores |
| Exports - partners: | Azerbaijan 25%, Armenia 11%, Ukraine 7%, Turkey 6%, Russia 6% (2013 est.) |
| Imports: | $7.064 billion (2013 est.) |
| Imports: | $7.842 billion (2012 est.) |
| Imports - commodities: | fuels, vehicles, machinery and parts, grain and other foods, pharmaceuticals |
| Imports - partners: | Turkey 17%, Ukraine 8%, Azerbaijan 8%, Russia 7%, China 7% (2013 est.) |
| Reserves of foreign exchange and gold: | $3.317 billion (31 December 2013 est.) |
| Reserves of foreign exchange and gold: | $2.873 billion (31 December 2012 est.) |
| Debt - external: | $11.74 billion (31 December 2013 est.) |
| Debt - external: | $11.67 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $11.19 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $10.49 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $1.359 billion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $1.329 billion (31 December 2012 est.) |
| Exchange rates: | laris (GEL) per US dollar - |
| Exchange rates: | 1.655 (2013 est.) |
| Exchange rates: | 1.6513 (2012 est.) |
| Exchange rates: | 1.7823 (2010 est.) |
| Exchange rates: | 1.6705 (2009 est.) |
| Exchange rates: | 1.47 (2008 est.) |
