| Economy | Georgia |
| Labor force: | 1.998 million (2016 est.) |
| Labor force - by occupation: | agriculture: 55.6% |
| Labor force - by occupation: | industry: 8.9% |
| Labor force - by occupation: | services: 35.5% (2006 est.) |
| Unemployment rate: | NA% (2017 est.) |
| Unemployment rate: | 11.8% (2016 est.) |
| Population below poverty line: | 9.2% (2010 est.) |
| Household income or consumption by percentage share: | lowest 10%: 31.3% (2008) |
| Household income or consumption by percentage share: | highest 10%: 31.3% (2008) |
| Distribution of family income - Gini index: | 40.1 (2014) |
| Distribution of family income - Gini index: | 46 (2011) |
| Budget: | revenues: 4.352 billion (2017 est.) |
| Budget: | expenditures: 4.925 billion (2017 est.) |
| Taxes and other revenues: | 28.7% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -3.8% (of GDP) (2017 est.) |
| Public debt: | 44.9% of GDP (2017 est.) |
| Public debt: | 44.4% of GDP (2016 est.) |
| Public debt: | note: data cover general government debt and include debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities; Georgia does not maintain intragovernmental debt or social funds |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 6% (2017 est.) |
| Inflation rate (consumer prices): | 2.1% (2016 est.) |
| Central bank discount rate: | 7% (23 September 2015) |
| Central bank discount rate: | 6.5% (7) |
| Central bank discount rate: | note: this is the Refinancing Rate, the key monetary policy rate of the National Bank of Georgia |
| Commercial bank prime lending rate: | 11.49% (31 December 2017 est.) |
| Commercial bank prime lending rate: | 12.62% (31 December 2016 est.) |
| Stock of narrow money: | $2.301 billion (31 December 2017 est.) |
| Stock of narrow money: | $1.933 billion (31 December 2016 est.) |
| Stock of broad money: | $2.301 billion (31 December 2017 est.) |
| Stock of broad money: | $1.933 billion (31 December 2016 est.) |
| Stock of domestic credit: | $8.961 billion (31 December 2017 est.) |
| Stock of domestic credit: | $7.753 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | $1.155 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $943.4 million (31 December 2012 est.) |
| Market value of publicly traded shares: | $795.7 million (31 December 2011 est.) |
| Current account balance: | -$1.348 billion (2017 est.) |
| Current account balance: | -$1.84 billion (2016 est.) |
| Exports: | $3.566 billion (2017 est.) |
| Exports: | $2.831 billion (2016 est.) |
| Exports - partners: | Russia 14.5%, Azerbaijan 10%, Turkey 7.9%, Armenia 7.7%, China 7.6%, Bulgaria 6.6%, Ukraine 4.6%, US 4.5% (2017) |
| Exports - commodities: | vehicles, ferro-alloys, fertilizers, nuts, scrap metal, gold, copper ores |
| Imports: | $7.415 billion (2017 est.) |
| Imports: | $6.747 billion (2016 est.) |
| Imports - commodities: | fuels, vehicles, machinery and parts, grain and other foods, pharmaceuticals |
| Imports - partners: | Turkey 17.2%, Russia 9.9%, China 9.2%, Azerbaijan 7.6%, Ukraine 5.6%, Germany 5.4% (2017) |
| Reserves of foreign exchange and gold: | $3.039 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $2.756 billion (31 December 2016 est.) |
| Debt - external: | $16.99 billion (31 December 2017 est.) |
| Debt - external: | $14.08 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $17.47 billion (31 December 2017 est.) |
| Stock of direct foreign investment - at home: | $14.66 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $2.477 billion (31 December 2017 est.) |
| Stock of direct foreign investment - abroad: | $2.185 billion (31 December 2016 est.) |
| Exchange rates: | laris (GEL) per US dollar - |
| Exchange rates: | 2.535 (2017 est.) |
| Exchange rates: | 2.3668 (2016 est.) |
| Exchange rates: | 2.3668 (2015 est.) |
| Exchange rates: | 2.2694 (2014 est.) |
| Exchange rates: | 1.7657 (2013 est.) |
