| Economy | EL SALVADOR |
| GDP - composition, by end use: | exports of goods and services: 26% |
| GDP - composition, by end use: | imports of goods and services: -44.2% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 10.5% |
| GDP - composition, by sector of origin: | industry: 25.1% |
| GDP - composition, by sector of origin: | services: 64.4% (2015 est.) |
| Agriculture - products: | coffee, sugar, corn, rice, beans, oilseed, cotton, sorghum; beef, dairy products |
| Industries: | food processing, beverages, petroleum, chemicals, fertilizer, textiles, furniture, light metals |
| Industrial production growth rate: | 2.2% (2015 est.) |
| Labor force: | 2.774 million (2015 est.) |
| Labor force - by occupation: | agriculture: 21% |
| Labor force - by occupation: | industry: 20% |
| Labor force - by occupation: | services: 58% (2011 est.) |
| Unemployment rate: | 5.5% (2015 est.) |
| Unemployment rate: | 5.6% (2014 est.) |
| Unemployment rate: | note: data are official rates; but underemployment is high |
| Population below poverty line: | 36.5% (2010 est.) |
| Household income or consumption by percentage share: | lowest 10%: 1% |
| Household income or consumption by percentage share: | highest 10%: 37% (2009 est.) |
| Distribution of family income - Gini index: | 46.9 (2007) |
| Distribution of family income - Gini index: | 52.5 (2001) |
| Budget: | revenues: $5.158 billion |
| Budget: | expenditures: $6.009 billion (2015 est.) |
| Taxes and other revenues: | 20% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -3.3% of GDP (2015 est.) |
| Public debt: | 65.4% of GDP (2015 est.) |
| Public debt: | 62.4% of GDP (2014 est.) |
| Public debt: | note: El Salvador's total public debt includes non-financial public sector debt, financial public sector debt, and central bank debt |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | -0.7% (2015 est.) |
| Inflation rate (consumer prices): | 1.1% (2014 est.) |
| Commercial bank prime lending rate: | 6.13% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 5.99% (31 December 2014 est.) |
| Stock of narrow money: | $3.253 billion (31 December 2015 est.) |
| Stock of narrow money: | $2.92 billion (31 December 2014 est.) |
| Stock of broad money: | $11.45 billion (31 December 2014 est.) |
| Stock of broad money: | $10.87 billion (31 December 2013 est.) |
| Stock of domestic credit: | $13.28 billion (31 December 2015 est.) |
| Stock of domestic credit: | $12.26 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $10.74 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $5.474 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $4.227 billion (31 December 2010 est.) |
| Current account balance: | -$826 million (2015 est.) |
| Current account balance: | -$1.194 billion (2014 est.) |
| Exports: | $4.381 billion (2015 est.) |
| Exports: | $4.256 billion (2014 est.) |
| Exports - commodities: | offshore assembly exports, coffee, sugar, textiles and apparel, gold, ethanol, chemicals, electricity, iron and steel manufactures |
| Exports - partners: | US 47.1%, Honduras 13.9%, Guatemala 13.6%, Nicaragua 6.6%, Costa Rica 4.5% (2015) |
| Imports: | $9.321 billion (2015 est.) |
| Imports: | $9.463 billion (2014 est.) |
| Imports - commodities: | raw materials, consumer goods, capital goods, fuels, foodstuffs, petroleum, electricity |
| Imports - partners: | US 39.4%, Guatemala 9.6%, China 8.1%, Mexico 7.4%, Honduras 5.7% (2015) |
| Reserves of foreign exchange and gold: | $2.787 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $2.693 billion (31 December 2014 est.) |
| Debt - external: | $14.67 billion (31 December 2015 est.) |
| Debt - external: | $14.56 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $10.11 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $9.392 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $951.8 million (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $854.8 million (31 December 2014 est.) |
| Exchange rates: | note: the US dollar is used as a medium of exchange and circulates freely in the economy |
