| Economy | SAUDI ARABIA |
| Household income or consumption by percentage share: | lowest 10%: NA% |
| Household income or consumption by percentage share: | highest 10%: NA% |
| Distribution of family income - Gini index: | 45.9 (2013 est.) |
| Budget: | revenues: $138.5 billion |
| Budget: | expenditures: $221.5 billion (2016 est.) |
| Taxes and other revenues: | 21.7% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -13% of GDP (2016 est.) |
| Public debt: | 22.3% of GDP (2016 est.) |
| Public debt: | 14.8% of GDP (2015 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 3.5% (2016 est.) |
| Inflation rate (consumer prices): | 2.2% (2015 est.) |
| Central bank discount rate: | 2.5% (31 December 2008) |
| Commercial bank prime lending rate: | 7.1% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 6.9% (31 December 2015 est.) |
| Stock of narrow money: | $305.2 billion (31 December 2016 est.) |
| Stock of narrow money: | $305.3 billion (31 December 2015 est.) |
| Stock of broad money: | $476.6 billion (31 December 2016 est.) |
| Stock of broad money: | $472.9 billion (31 December 2015 est.) |
| Stock of domestic credit: | $221.3 billion (31 December 2016 est.) |
| Stock of domestic credit: | $134.1 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $421.1 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $483.1 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $467.4 billion (31 December 2013 est.) |
| Current account balance: | $-27.54 billion (2016 est.) |
| Current account balance: | $-56.72 billion (2015 est.) |
| Exports: | $183.6 billion (2016 est.) |
| Exports: | $203.5 billion (2015 est.) |
| Exports - commodities: | petroleum and petroleum products 90% (2012 est.) |
| Exports - partners: | China 13.6%, Japan 11.3%, India 10.7%, US 9.8%, South Korea 9.1%, Singapore 4.7% (2016) |
| Imports: | $127.8 billion (2016 est.) |
| Imports: | $159.3 billion (2015 est.) |
| Imports - commodities: | machinery and equipment, foodstuffs, chemicals, motor vehicles, textiles |
| Imports - partners: | China 16.2%, US 15%, Germany 6.3%, Japan 5.3%, UAE 5%, South Korea 4.3% (2016) |
| Reserves of foreign exchange and gold: | $535.8 billion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $616.4 billion (31 December 2015 est.) |
| Debt - external: | $189.3 billion (31 December 2016 est.) |
| Debt - external: | $171.5 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $258.1 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $250.7 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $46.45 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $37.85 billion (31 December 2015 est.) |
| Exchange rates: | Saudi riyals (SAR) per US dollar - |
| Exchange rates: | 3.75 (2016 est.) |
| Exchange rates: | 3.75 (2015 est.) |
| Exchange rates: | 3.75 (2014 est.) |
| Exchange rates: | 3.75 (2013 est.) |
| Exchange rates: | 3.75 (2012 est.) |
