| Economy | SAUDI ARABIA |
| Unemployment rate: | note: data are for Saudi males only (local bank estimates; some estimates are as high as 25%) |
| Population below poverty line: | NA% |
| Household income or consumption by percentage share: | lowest 10%: NA% |
| Household income or consumption by percentage share: | highest 10%: NA% |
| Distribution of family income - Gini index: | 45.9 (2013 est.) |
| Budget: | revenues: $164.2 billion |
| Budget: | expenditures: $260.8 billion (2015 est.) |
| Taxes and other revenues: | 25.1% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -14.8% of GDP (2015 est.) |
| Public debt: | 15% of GDP (2015 est.) |
| Public debt: | 9.2% of GDP (2014 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 2.2% (2015 est.) |
| Inflation rate (consumer prices): | 2.7% (2014 est.) |
| Central bank discount rate: | 2.5% (31 December 2008) |
| Commercial bank prime lending rate: | 6.9% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 6.7% (31 December 2014 est.) |
| Stock of narrow money: | $305.5 billion (31 December 2015 est.) |
| Stock of narrow money: | $304.8 billion (31 December 2014 est.) |
| Stock of broad money: | $513.3 billion (31 December 2015 est.) |
| Stock of broad money: | $461.2 billion (31 December 2014 est.) |
| Stock of domestic credit: | $134.1 billion (31 December 2015 est.) |
| Stock of domestic credit: | $13.35 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $373.4 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $338.9 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $353.4 billion (31 December 2013 est.) |
| Current account balance: | -$41.48 billion (2015 est.) |
| Current account balance: | $73.76 billion (2014 est.) |
| Exports: | $202.3 billion (2015 est.) |
| Exports: | $342.5 billion (2014 est.) |
| Exports - commodities: | petroleum and petroleum products 90% (2012 est.) |
| Exports - partners: | China 13.2%, Japan 10.9%, US 9.6%, India 9.6%, South Korea 8.5% (2015) |
| Imports: | $155 billion (2015 est.) |
| Imports: | $158.5 billion (2014 est.) |
| Imports - commodities: | machinery and equipment, foodstuffs, chemicals, motor vehicles, textiles |
| Imports - partners: | China 13.9%, US 12.7%, Germany 7.1%, South Korea 6.1%, India 4.5%, Japan 4.4%, UK 4.3% (2015) |
| Reserves of foreign exchange and gold: | $616.4 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $732.4 billion (31 December 2014 est.) |
| Debt - external: | $169.8 billion (31 December 2015 est.) |
| Debt - external: | $166.1 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $250.7 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $242.6 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $37.98 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $32.46 billion (31 December 2014 est.) |
| Exchange rates: | Saudi riyals (SAR) per US dollar - |
| Exchange rates: | 3.75 (2015 est.) |
| Exchange rates: | 3.75 (2014 est.) |
| Exchange rates: | 3.75 (2013 est.) |
| Exchange rates: | 3.75 (2012 est.) |
| Exchange rates: | 3.75 (2011 est.) |
