| Economy | SAUDI ARABIA |
| Industries: | crude oil production, petroleum refining, basic petrochemicals, ammonia, industrial gases, sodium hydroxide (caustic soda), cement, fertilizer, plastics, metals, commercial ship repair, commercial aircraft repair, construction |
| Industrial production growth rate: | 2.7% (2014 est.) |
| Labor force: | 11.22 million |
| Labor force: | note: about 80% of the labor force is non-national (2014 est.) |
| Labor force - by occupation: | agriculture: 6.7% |
| Labor force - by occupation: | industry: 21.4% |
| Labor force - by occupation: | services: 71.9% (2005 est.) |
| Unemployment rate: | 11.6% (2014 est.) |
| Unemployment rate: | 11.5% (2013 est.) |
| Unemployment rate: | note: data are for Saudi males only (local bank estimates; some estimates are as high as 25%) |
| Population below poverty line: | NA% |
| Household income or consumption by percentage share: | lowest 10%: NA% |
| Household income or consumption by percentage share: | highest 10%: NA% |
| Budget: | revenues: $278.9 billion |
| Budget: | expenditures: $293.3 billion (2014 est.) |
| Taxes and other revenues: | 37.4% of GDP (2014 est.) |
| Budget surplus (+) or deficit (-): | -1.9% of GDP (2014 est.) |
| Public debt: | 1.6% of GDP (2014 est.) |
| Public debt: | 2.7% of GDP (2013 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 2.7% (2014 est.) |
| Inflation rate (consumer prices): | 3.5% (2013 est.) |
| Central bank discount rate: | 2.5% (31 December 2008) |
| Commercial bank prime lending rate: | 6.8% (31 December 2014 est.) |
| Commercial bank prime lending rate: | 6.7% (31 December 2013 est.) |
| Stock of narrow money: | $304.8 billion (31 December 2014 est.) |
| Stock of narrow money: | $266.8 billion (31 December 2013 est.) |
| Stock of broad money: | $461.2 billion (31 December 2014 est.) |
| Stock of broad money: | $412 billion (31 December 2013 est.) |
| Stock of domestic credit: | $-38.16 billion (31 December 2014 est.) |
| Stock of domestic credit: | $-58.7 billion (31 December 2013 est.) |
| Market value of publicly traded shares: | $373.4 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $338.9 billion (31 December 2011) |
| Market value of publicly traded shares: | $353.4 billion (31 December 2010 est.) |
| Current account balance: | $76.92 billion (2014 est.) |
| Current account balance: | $135.4 billion (2013 est.) |
| Exports: | $342.3 billion (2014 est.) |
| Exports: | $375.9 billion (2013 est.) |
| Exports - commodities: | petroleum and petroleum products 90% (2012 est.) |
| Exports - partners: | China 13.3%, Japan 13%, US 12.9%, South Korea 10%, India 8.9%, Singapore 4% (2014) |
| Imports: | $158.5 billion (2014 est.) |
| Imports: | $153.3 billion (2013 est.) |
| Imports - commodities: | machinery and equipment, foodstuffs, chemicals, motor vehicles, textiles |
| Imports - partners: | China 13.3%, US 12.1%, India 8.3%, Germany 6.5%, South Korea 5.4%, Japan 4.9% (2014) |
| Reserves of foreign exchange and gold: | $660.1 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $732.4 billion (31 December 2014 est.) |
| Debt - external: | $166.1 billion (31 December 2014 est.) |
| Debt - external: | $155.7 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $242.6 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $234.5 billion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $32.46 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $27.06 billion (31 December 2013 est.) |
| Exchange rates: | Saudi riyals (SAR) per US dollar - |
| Exchange rates: | 3.75 (2014 est.) |
| Exchange rates: | 3.75 (2013 est.) |
| Exchange rates: | 3.75 (2012 est.) |
| Exchange rates: | 3.75 (2011 est.) |
| Exchange rates: | 3.75 (2010 est.) |
