| Economy | Saudi Arabia |
| Unemployment rate: | note: data are for total population; unemployment among Saudi nationals is more than double |
| Population below poverty line: | NA |
| Household income or consumption by percentage share: | lowest 10%: NA |
| Household income or consumption by percentage share: | highest 10%: NA |
| Distribution of family income - Gini index: | 45.9 (2013 est.) |
| Budget: | revenues: 181 billion (2017 est.) |
| Budget: | expenditures: 241.8 billion (2017 est.) |
| Taxes and other revenues: | 26.4% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -8.9% (of GDP) (2017 est.) |
| Public debt: | 17.2% of GDP (2017 est.) |
| Public debt: | 13.1% of GDP (2016 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | -0.9% (2017 est.) |
| Inflation rate (consumer prices): | 2% (2016 est.) |
| Central bank discount rate: | 2.5% (31 December 2008) |
| Commercial bank prime lending rate: | 8.3% (31 December 2017 est.) |
| Commercial bank prime lending rate: | 7.1% (31 December 2016 est.) |
| Stock of narrow money: | $312.6 billion (31 December 2017 est.) |
| Stock of narrow money: | $305.2 billion (31 December 2016 est.) |
| Stock of broad money: | $312.6 billion (31 December 2017 est.) |
| Stock of broad money: | $305.2 billion (31 December 2016 est.) |
| Stock of domestic credit: | $267.1 billion (31 December 2017 est.) |
| Stock of domestic credit: | $219.7 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | $421.1 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $483.1 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $467.4 billion (31 December 2013 est.) |
| Current account balance: | $15.23 billion (2017 est.) |
| Current account balance: | -$23.87 billion (2016 est.) |
| Exports: | $221.1 billion (2017 est.) |
| Exports: | $183.6 billion (2016 est.) |
| Exports - partners: | Japan 12.2%, China 11.7%, South Korea 9%, India 8.9%, US 8.3%, UAE 6.7%, Singapore 4.2% (2017) |
| Exports - commodities: | petroleum and petroleum products 90% (2012 est.) |
| Imports: | $119.3 billion (2017 est.) |
| Imports: | $127.8 billion (2016 est.) |
| Imports - commodities: | machinery and equipment, foodstuffs, chemicals, motor vehicles, textiles |
| Imports - partners: | China 15.4%, US 13.6%, UAE 6.5%, Germany 5.8%, Japan 4.1%, India 4.1%, South Korea 4% (2017) |
| Reserves of foreign exchange and gold: | $496.4 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $535.8 billion (31 December 2016 est.) |
| Debt - external: | $205.1 billion (31 December 2017 est.) |
| Debt - external: | $189.3 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $264.6 billion (31 December 2017 est.) |
| Stock of direct foreign investment - at home: | $258.1 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $56.09 billion (31 December 2017 est.) |
| Stock of direct foreign investment - abroad: | $46.45 billion (31 December 2016 est.) |
| Exchange rates: | Saudi riyals (SAR) per US dollar - |
| Exchange rates: | 3.75 (2017 est.) |
| Exchange rates: | 3.75 (2016 est.) |
| Exchange rates: | 3.75 (2015 est.) |
| Exchange rates: | 3.75 (2014 est.) |
| Exchange rates: | 3.75 (2013 est.) |
