| Economy | Iraq |
| GDP - composition, by end use: | household consumption: 50.4% (2013 est.) |
| GDP - composition, by end use: | government consumption: 22.9% (2016 est.) |
| GDP - composition, by end use: | investment in fixed capital: 20.6% (2016 est.) |
| GDP - composition, by end use: | investment in inventories: 0% (2016 est.) |
| GDP - composition, by end use: | exports of goods and services: 32.5% (2016 est.) |
| GDP - composition, by end use: | imports of goods and services: -40.9% (2016 est.) |
| Ease of Doing Business Index scores: | 77.3 (2020) |
| Agriculture - products: | wheat, barley, rice, vegetables, dates, cotton; cattle, sheep, poultry |
| Industries: | petroleum, chemicals, textiles, leather, construction materials, food processing, fertilizer, metal fabrication/processing |
| Industrial production growth rate: | 0.7% (2017 est.) |
| Labor force: | 8.9 million (2010 est.) |
| Labor force - by occupation: | agriculture: 21.6% |
| Labor force - by occupation: | industry: 18.7% |
| Labor force - by occupation: | services: 59.8% (2008 est.) |
| Unemployment rate: | 16% (2012 est.) |
| Unemployment rate: | 15% (2010 est.) |
| Population below poverty line: | 23% (2014 est.) |
| Household income or consumption by percentage share: | lowest 10%: 3.6% |
| Household income or consumption by percentage share: | highest 10%: 25.7% (2007 est.) |
| Budget: | revenues: 68.71 billion (2017 est.) |
| Budget: | expenditures: 76.82 billion (2017 est.) |
| Taxes and other revenues: | 35.7% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -4.2% (of GDP) (2017 est.) |
| Public debt: | 59.7% of GDP (2017 est.) |
| Public debt: | 66% of GDP (2016 est.) |
| Fiscal year: | calendar year |
| Current account balance: | $4.344 billion (2017 est.) |
| Current account balance: | -$13.38 billion (2016 est.) |
| Exports: | $61.4 billion (2017 est.) |
| Exports: | $41.72 billion (2016 est.) |
| Exports - partners: | India 21.2%, China 20.2%, US 15.8%, South Korea 9.4%, Greece 5.3%, Netherlands 4.8%, Italy 4.7% (2017) |
| Exports - commodities: | crude oil 99%, crude materials excluding fuels, food, live animals |
| Imports: | $39.47 billion (2017 est.) |
| Imports: | $19.57 billion (2016 est.) |
| Imports - commodities: | food, medicine, manufactures |
| Imports - partners: | Turkey 27.8%, China 25.7%, South Korea 4.7%, Russia 4.3% (2017) |
| Reserves of foreign exchange and gold: | $48.88 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $45.36 billion (31 December 2016 est.) |
| Debt - external: | $73.02 billion (31 December 2017 est.) |
| Debt - external: | $64.16 billion (31 December 2016 est.) |
| Exchange rates: | Iraqi dinars (IQD) per US dollar - |
| Exchange rates: | 1,184 (2017 est.) |
| Exchange rates: | 1,182 (2016 est.) |
| Exchange rates: | 1,182 (2015 est.) |
| Exchange rates: | 1,167.63 (2014 est.) |
| Exchange rates: | 1,213.72 (2013 est.) |
