| Economy | IRAQ |
| Market value of publicly traded shares: | $2 billion (31 July 2009 est.) |
| Current account balance: | $-14.9 billion (2016 est.) |
| Current account balance: | $4.121 billion (2015 est.) |
| Exports: | $28.36 billion (2016 est.) |
| Exports: | $43.44 billion (2015 est.) |
| Exports - commodities: | crude oil 99%, crude materials excluding fuels, food, live animals |
| Exports - partners: | China 21.9%, India 20.6%, US 12.3%, South Korea 10.3%, Italy 6.8%, Greece 5.4% (2016) |
| Imports: | $19.57 billion (2016 est.) |
| Imports: | $33.19 billion (2015 est.) |
| Imports - commodities: | food, medicine, manufactures |
| Imports - partners: | China 26.9%, Turkey 26.6%, South Korea 5%, US 4.4% (2016) |
| Reserves of foreign exchange and gold: | $45.36 billion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $54.06 billion (31 December 2015 est.) |
| Debt - external: | $64.16 billion (31 December 2016 est.) |
| Debt - external: | $59.95 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $26.63 billion (2015 est.) |
| Stock of direct foreign investment - at home: | $23.16 billion (2014 est.) |
| Stock of direct foreign investment - abroad: | $2.109 billion (2015 est.) |
| Stock of direct foreign investment - abroad: | $1.956 billion (2014 est.) |
| Exchange rates: | Iraqi dinars (IQD) per US dollar - |
| Exchange rates: | 1,182 (2016 est.) |
| Exchange rates: | 1,182 (2015 est.) |
| Exchange rates: | 1,167.63 (2014 est.) |
| Exchange rates: | 1,213.72 (2013 est.) |
| Exchange rates: | 1,166.17 (2012 est.) |
