| Economy | Slovenia |
| Household income or consumption by percentage share: | lowest 10%: 3.9% |
| Household income or consumption by percentage share: | highest 10%: 19.8% (2011) |
| Distribution of family income - Gini index: | 23.7 (2012) |
| Distribution of family income - Gini index: | 23.8 (2005) |
| Budget: | revenues: $19.56 billion |
| Budget: | expenditures: $21.62 billion (2013 est.) |
| Taxes and other revenues: | 41.8% of GDP (2013 est.) |
| Budget surplus (+) or deficit (-): | -4.4% of GDP (2013 est.) |
| Public debt: | 71.7% of GDP (2013 est.) |
| Public debt: | 54.4% of GDP (2012 est.) |
| Public debt: | note: defined by the EU's Maastricht Treaty as consolidated general government gross debt at nominal value, outstanding at the end of the year in the following categories of government liabilities: currency and deposits, securities other than shares excluding financial derivatives, and loans; general government sector comprises the subsectors: central government, state government, local government, and social security funds |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 1.8% (2013 est.) |
| Inflation rate (consumer prices): | 2.7% (2012 est.) |
| Central bank discount rate: | 0.75% (31 December 2013) |
| Central bank discount rate: | 1.5% (31 December 2012) |
| Central bank discount rate: | note: this is the European Central Bank's rate on the marginal lending facility, which offers overnight credit to banks in the euro area |
| Commercial bank prime lending rate: | 5.7% (31 December 2013 est.) |
| Commercial bank prime lending rate: | 5.7% (31 December 2012 est.) |
| Stock of narrow money: | $11.85 billion (31 December 2013 est.) |
| Stock of narrow money: | $11.39 billion (31 December 2012 est.) |
| Stock of narrow money: | note: see entry for the European Union for money supply in the euro area; the European Central Bank (ECB) controls monetary policy for the 17 members of the Economic and Monetary Union (EMU); individual members of the EMU do not control the quantity of money circulating within their own borders |
| Stock of broad money: | $25.4 billion (31 December 2013 est.) |
| Stock of broad money: | $24.88 billion (31 December 2012 est.) |
| Stock of domestic credit: | $42.76 billion (31 December 2013 est.) |
| Stock of domestic credit: | $45.1 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $6.87 billion (31 December 2013 est.) |
| Market value of publicly traded shares: | $6.31 billion (31 December 2012) |
| Market value of publicly traded shares: | $6.783 billion (31  December 2011 est.) |
| Current account balance: | $2.954 billion (2013 est.) |
| Current account balance: | $1.486 billion (2012 est.) |
| Exports: | $28.73 billion (2013 est.) |
| Exports: | $27.08 billion (2012 est.) |
| Exports - commodities: | manufactured goods, machinery and transport equipment, chemicals, food |
| Exports - partners: | Germany 20%, Italy 12%, Austria 7.9%, Croatia 6.2%, France 4.8%, Russia 4.6% (2012) |
| Imports: | $29.49 billion (2013 est.) |
| Imports: | $28.39 billion (2012 est.) |
| Imports - commodities: | machinery and transport equipment, manufactured goods, chemicals, fuels and lubricants, food |
| Imports - partners: | Italy 16.5%, Germany 16.3%, Austria 10.4%, Croatia 4.8%, Hungary 4% (2012) |
| Reserves of foreign exchange and gold: | $889 million (31. December 2013 est.) |
| Reserves of foreign exchange and gold: | $927.6 million (31 December 2012 est.) |
| Debt - external: | $52.53 billion (31 December 2013 est.) |
| Debt - external: | $52.48 billion (31 December 2012) |
| Stock of direct foreign investment - at home: | $14.67 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $15.57 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $7.453 billion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $7.436 billion (31 December 2012 est.) |
| Exchange rates: | euros (EUR) per US dollar - |
| Exchange rates: | 0.7634 (2013 est.) |
| Exchange rates: | 0.7752 (2012 est.) |
| Exchange rates: | 0.755 (2010 est.) |
| Exchange rates: | 0.7198 (2009 est.) |
| Exchange rates: | 0.6827 (2008 est.) |
