| Economy | SLOVENIA |
| Stock of broad money: | $25.92 billion (31 December 2013 est.) |
| Stock of domestic credit: | $40.86 billion (31 December 2014 est.) |
| Stock of domestic credit: | $43.11 billion (31 December 2013 est.) |
| Market value of publicly traded shares: | $6.87 billion (31 December 2013 est.) |
| Market value of publicly traded shares: | $6.31 billion (31 December 2012) |
| Market value of publicly traded shares: | $6.783 billion (31  December 2011 est.) |
| Current account balance: | $2.858 billion (2014 est.) |
| Current account balance: | $2.79 billion (2013 est.) |
| Exports: | $30.47 billion (2014 est.) |
| Exports: | $29.25 billion (2013 est.) |
| Exports - commodities: | manufactured goods, machinery and transport equipment, chemicals, food |
| Exports - partners: | Germany 19%, Italy 11.2%, Austria 8.7%, Croatia 6.6%, Hungary 4.4%, France 4.4%, Russia 4.1%, Slovakia 4.1% (2014) |
| Imports: | $29.37 billion (2014 est.) |
| Imports: | $28.4 billion (2013 est.) |
| Imports - commodities: | machinery and transport equipment, manufactured goods, chemicals, fuels and lubricants, food |
| Imports - partners: | Germany 16.2%, Italy 14.4%, Austria 10.3%, South Korea 4.6%, China 4.4%, Croatia 4.3%, Hungary 4.1% (2014) |
| Reserves of foreign exchange and gold: | $921 million (31 December 2014 est.) |
| Reserves of foreign exchange and gold: | $921.9 million (31 December 2013 est.) |
| Debt - external: | $52.53 billion (31 December 2013 est.) |
| Debt - external: | $52.48 billion (31 December 2012) |
| Stock of direct foreign investment - at home: | $17.5 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $17 billion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $9.585 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $9.505 billion (31 December 2013 est.) |
| Exchange rates: | euros (EUR) per US dollar - |
| Exchange rates: | 0.7489 (2014 est.) |
| Exchange rates: | 0.7634 (2013 est.) |
| Exchange rates: | 0.78 (2012 est.) |
| Exchange rates: | 0.7185 (2011 est.) |
| Exchange rates: | 0.755 (2010 est.) |
