| Economy | LIBYA |
| Central bank discount rate: | 9.52% (31 December 2010) |
| Central bank discount rate: | 3% (31 December 2009) |
| Commercial bank prime lending rate: | 6% (31 December 2014 est.) |
| Commercial bank prime lending rate: | 6% (31 December 2013 est.) |
| Stock of narrow money: | $48.02 billion (31 December 2014 est.) |
| Stock of narrow money: | $49.61 billion (31 December 2013 est.) |
| Stock of broad money: | $54.66 billion (31 December 2014 est.) |
| Stock of broad money: | $53.34 billion (31 December 2013 est.) |
| Stock of domestic credit: | $-16.48 billion (31 December 2014 est.) |
| Stock of domestic credit: | $-38.46 billion (31 December 2013 est.) |
| Market value of publicly traded shares: | $NA |
| Current account balance: | -$12.39 billion (2014 est.) |
| Current account balance: | $8.895 billion (2013 est.) |
| Exports: | $16.46 billion (2014 est.) |
| Exports: | $46.02 billion (2013 est.) |
| Exports - commodities: | crude oil, refined petroleum products, natural gas, chemicals |
| Exports - partners: | Italy 17.7%, France 13.1%, Germany 11.9%, Netherlands 8.5%, Switzerland 6.1%, Spain 6%, Greece 4.8%, Austria 4.3% (2014) |
| Imports: | $20.43 billion (2014 est.) |
| Imports: | $34.05 billion (2013 est.) |
| Imports - commodities: | machinery, semi-finished goods, food, transport equipment, consumer products |
| Imports - partners: | Italy 15.1%, China 12.3%, Turkey 11.8%, Egypt 5.7%, South Korea 5.1%, Tunisia 4.7%, Spain 4.4% (2014) |
| Reserves of foreign exchange and gold: | $61.63 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $89.25 billion (31 December 2014 est.) |
| Debt - external: | $5.244 billion (31 December 2014 est.) |
| Debt - external: | $6.028 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $16.04 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $16.04 billion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $20.91 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $20.16 billion (31 December 2013 est.) |
| Exchange rates: | Libyan dinars (LYD) per US dollar - |
| Exchange rates: | 1.2724 (2014 est.) |
| Exchange rates: | 1.2724 (2013 est.) |
| Exchange rates: | 1.26 (2012 est.) |
| Exchange rates: | 1.224 (2011 est.) |
| Exchange rates: | 1.2668 (2010 est.) |
