| Economy | GUYANA |
| GDP - composition, by sector of origin: | industry: 39.2% |
| GDP - composition, by sector of origin: | services: 40.5% (2014 est.) |
| Agriculture - products: | sugarcane, rice, edible oils; beef, pork, poultry; shrimp, fish |
| Industries: | bauxite, sugar, rice milling, timber, textiles, gold mining |
| Industrial production growth rate: | 12% (2014 est.) |
| Labor force: | 313,800 (2013 est.) |
| Labor force - by occupation: | agriculture: NA% |
| Labor force - by occupation: | industry: NA% |
| Labor force - by occupation: | services: NA% |
| Unemployment rate: | 11.1% (2013) |
| Unemployment rate: | 11.3% (2012) |
| Population below poverty line: | 35% (2006 est.) |
| Household income or consumption by percentage share: | lowest 10%: 1.3% |
| Household income or consumption by percentage share: | highest 10%: 33.8% (1999) |
| Distribution of family income - Gini index: | 44.6 (2007) |
| Distribution of family income - Gini index: | 43.2 (1999) |
| Budget: | revenues: $732.2 million |
| Budget: | expenditures: $874.3 million (2014 est.) |
| Taxes and other revenues: | 23.3% of GDP (2014 est.) |
| Budget surplus (+) or deficit (-): | -4.5% of GDP (2014 est.) |
| Public debt: | 58% of GDP (2014 est.) |
| Public debt: | 56.6% of GDP (2013 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 1% (2014 est.) |
| Inflation rate (consumer prices): | 1.9% (2013 est.) |
| Central bank discount rate: | 5.5% (31 December 2011) |
| Central bank discount rate: | 4.25% (31 December 2010) |
| Commercial bank prime lending rate: | 13.2% (31 December 2014 est.) |
| Commercial bank prime lending rate: | 13.5% (31 December 2013 est.) |
| Stock of narrow money: | $603.4 million (31 December 2014 est.) |
| Stock of narrow money: | $558.5 million (31 December 2013 est.) |
| Stock of broad money: | $1.59 billion (31 December 2014 est.) |
| Stock of broad money: | $1.52 billion (31 December 2013 est.) |
| Stock of domestic credit: | $1.495 billion (31 December 2014 est.) |
| Stock of domestic credit: | $1.406 billion (31 December 2013 est.) |
| Market value of publicly traded shares: | $610.9 million (31 December 2012 est.) |
| Market value of publicly traded shares: | $440.4 million (31 December 2011) |
| Market value of publicly traded shares: | $339.8 million (31 December 2010 est.) |
| Current account balance: | -$477 million (2014 est.) |
| Current account balance: | -$405.4 million (2013 est.) |
| Exports: | $1.308 billion (2014 est.) |
| Exports: | $1.343 billion (2013 est.) |
| Exports - commodities: | sugar, gold, bauxite, alumina, rice, shrimp, molasses, rum, timber |
| Exports - partners: | US 31.9%, Canada 21.3%, Venezuela 10.9%, UK 6.4% (2014) |
| Imports: | $1.981 billion (2014 est.) |
| Imports: | $1.859 billion (2013 est.) |
| Imports - commodities: | manufactures, machinery, petroleum, food |
| Imports - partners: | US 21.9%, Trinidad and Tobago 19.9%, Venezuela 12%, China 9.9%, Suriname 8% (2014) |
| Reserves of foreign exchange and gold: | $779.2 million (31 December 2014 est.) |
| Reserves of foreign exchange and gold: | $783.6 million (31 December 2013 est.) |
| Debt - external: | $1.846 billion (31 December 2011 est.) |
| Exchange rates: | Guyanese dollars (GYD) per US dollar - |
| Exchange rates: | 206.9 (2014 est.) |
| Exchange rates: | 205.39 (2013 est.) |
| Exchange rates: | 204.36 (2012 est.) |
| Exchange rates: | 204.02 (2011 est.) |
| Exchange rates: | 203.64 (2010 est.) |
