| Economy | Guyana |
| Household income or consumption by percentage share: | highest 10%: 33.8% (1999) |
| Distribution of family income - Gini index: | 44.6 (2007) |
| Distribution of family income - Gini index: | 43.2 (1999) |
| Budget: | revenues: $756.7 million |
| Budget: | expenditures: $948.5 million (2013 est.) |
| Taxes and other revenues: | 25.1% of GDP (2013 est.) |
| Budget surplus (+) or deficit (-): | -6.4% of GDP (2013 est.) |
| Public debt: | 59.9% of GDP (2013 est.) |
| Public debt: | 59.5% of GDP (2012 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 3.9% (2013 est.) |
| Inflation rate (consumer prices): | 2.4% (2012 est.) |
| Central bank discount rate: | 5.5% (31 December 2011 est.) |
| Central bank discount rate: | 4.25% (31 December 2010 est.) |
| Commercial bank prime lending rate: | 13.8% (31 December 2013 est.) |
| Commercial bank prime lending rate: | 13.86% (31 December 2012 est.) |
| Stock of narrow money: | $601.8 million (31 December 2013 est.) |
| Stock of narrow money: | $550.4 million (31 December 2012 est.) |
| Stock of broad money: | $1.617 billion (31 December 2013 est.) |
| Stock of broad money: | $1.49 billion (31 December 2012 est.) |
| Stock of domestic credit: | $1.352 billion (31 December 2013 est.) |
| Stock of domestic credit: | $1.223 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $610.9 million (31 December 2012 est.) |
| Market value of publicly traded shares: | $440.4 million (31 December 2011) |
| Market value of publicly traded shares: | $NA (31 December 2010 est.) |
| Current account balance: | -$510.7 million (2013 est.) |
| Current account balance: | -$394.8 million (2012 est.) |
| Exports: | $1.337 billion (2013 est.) |
| Exports: | $1.396 billion (2012 est.) |
| Exports - commodities: | sugar, gold, bauxite, alumina, rice, shrimp, molasses, rum, timber |
| Exports - partners: | US 30.8%, Canada 28.9%, UK 6.2% (2012) |
| Imports: | $2.039 billion (2013 est.) |
| Imports: | $1.978 billion (2012 est.) |
| Imports - commodities: | manufactures, machinery, petroleum, food |
| Imports - partners: | US 22.2%, Trinidad and Tobago 21.9%, China 12.3%, Cuba 6.1%, Suriname 4% (2012) |
| Reserves of foreign exchange and gold: | $854.7 million (31 December 2013 est.) |
| Reserves of foreign exchange and gold: | $864 million (31 December 2012 est.) |
| Debt - external: | $1.846 billion (31 December 2011 est.) |
| Debt - external: | $1.846 billion (31 December 2011 est.) |
| Exchange rates: | Guyanese dollars (GYD) per US dollar - |
| Exchange rates: | 205.9 (2013 est.) |
| Exchange rates: | 204.36 (2012 est.) |
| Exchange rates: | 203.64 (2010 est.) |
| Exchange rates: | 203.95 (2009) |
| Exchange rates: | 203.86 (2008) |
