| Economy | Belarus |
| GDP - per capita (PPP): | $18,900 (2017 est.) |
| GDP - per capita (PPP): | $18,400 (2016 est.) |
| GDP - per capita (PPP): | $19,000 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 24.5% of GDP (2017 est.) |
| Gross national saving: | 23% of GDP (2016 est.) |
| Gross national saving: | 25.8% of GDP (2015 est.) |
| GDP - composition, by end use: | household consumption: 54.8% (2017 est.) |
| GDP - composition, by end use: | government consumption: 14.6% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 24.9% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 5.7% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 67% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -67% (2017 est.) |
| GDP - composition, by sector of origin: | agriculture: 8.1% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 40.8% (2017 est.) |
| GDP - composition, by sector of origin: | services: 51.1% (2017 est.) |
| Agriculture - products: | grain, potatoes, vegetables, sugar beets, flax; beef, milk |
| Industries: | metal-cutting machine tools, tractors, trucks, earthmovers, motorcycles, synthetic fibers, fertilizer, textiles, refrigerators, washing machines and other household appliances |
| Industrial production growth rate: | 5.6% (2017 est.) |
| Labor force: | 4.381 million (2016 est.) |
| Labor force - by occupation: | agriculture: 9.7% |
| Labor force - by occupation: | industry: 23.4% |
| Labor force - by occupation: | services: 66.8% (2015 est.) |
| Unemployment rate: | 0.8% (2017 est.) |
| Unemployment rate: | 1% (2016 est.) |
| Unemployment rate: | note: official registered unemployed; large number of underemployed workers |
| Population below poverty line: | 5.7% (2016 est.) |
| Household income or consumption by percentage share: | lowest 10%: 21.9% (2008) |
| Household income or consumption by percentage share: | highest 10%: 21.9% (2008) |
| Distribution of family income - Gini index: | 26.5 (2011) |
| Distribution of family income - Gini index: | 21.7 (1998) |
| Budget: | revenues: 22.15 billion (2017 est.) |
| Budget: | expenditures: 20.57 billion (2017 est.) |
| Taxes and other revenues: | 40.7% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | 2.9% (of GDP) (2017 est.) |
| Public debt: | 53.4% of GDP (2017 est.) |
| Public debt: | 53.5% of GDP (2016 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 6% (2017 est.) |
| Inflation rate (consumer prices): | 11.8% (2016 est.) |
| Central bank discount rate: | 14% (19 April 2017) |
| Central bank discount rate: | 15% (15 March 2017) |
| Commercial bank prime lending rate: | 9.66% (31 December 2017 est.) |
| Commercial bank prime lending rate: | 14.4% (31 December 2016 est.) |
| Stock of narrow money: | $3.702 billion (31 December 2017 est.) |
| Stock of narrow money: | $2.719 billion (31 December 2016 est.) |
| Stock of broad money: | $3.702 billion (31 December 2017 est.) |
| Stock of broad money: | $2.719 billion (31 December 2016 est.) |
| Stock of domestic credit: | $19.81 billion (31 December 2017 est.) |
| Stock of domestic credit: | $20.65 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | NA |
| Current account balance: | -$931 million (2017 est.) |
| Current account balance: | -$1.669 billion (2016 est.) |
| Exports: | $28.65 billion (2017 est.) |
| Exports: | $22.98 billion (2016 est.) |
| Exports - partners: | Russia 43.9%, Ukraine 11.5%, UK 8.2% (2017) |
| Exports - commodities: | machinery and equipment, mineral products, chemicals, metals, textiles, foodstuffs |
| Imports: | $31.58 billion (2017 est.) |
| Imports: | $25.61 billion (2016 est.) |
| Imports - commodities: | mineral products, machinery and equipment, chemicals, foodstuffs, metals |
| Imports - partners: | Russia 57.2%, China 8%, Germany 5.1% (2017) |
| Reserves of foreign exchange and gold: | $7.315 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $4.927 billion (31 December 2016 est.) |
| Debt - external: | $39.92 billion (31 December 2017 est.) |
| Debt - external: | $37.74 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $6.929 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $7.241 billion (31 December 2015) |
| Stock of direct foreign investment - abroad: | $3.547 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $4.649 billion (31 December 2015) |
| Exchange rates: | Belarusian rubles (BYB/BYR) per US dollar - |
| Exchange rates: | 1.9 (2017 est.) |
| Exchange rates: | 2 (2016 est.) |
| Exchange rates: | 2 (2015 est.) |
| Exchange rates: | 15,926 (2014 est.) |
| Exchange rates: | 10,224.1 (2013 est.) |
