| Economy | BELARUS |
| GDP - real growth rate: | -2.6% (2016 est.) |
| GDP - real growth rate: | -3.8% (2015 est.) |
| GDP - real growth rate: | 1.7% (2014 est.) |
| GDP - per capita (PPP): | $18,100 (2016 est.) |
| GDP - per capita (PPP): | $18,600 (2015 est.) |
| GDP - per capita (PPP): | $19,400 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 21.7% of GDP (2016 est.) |
| Gross national saving: | 25.8% of GDP (2015 est.) |
| Gross national saving: | 28.2% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 54.6% |
| GDP - composition, by end use: | government consumption: 16.1% |
| GDP - composition, by end use: | investment in fixed capital: 23.9% |
| GDP - composition, by end use: | investment in inventories: 5.4% |
| GDP - composition, by end use: | exports of goods and services: 62.7% |
| GDP - composition, by end use: | imports of goods and services: -62.7% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 8.1% |
| GDP - composition, by sector of origin: | industry: 39.6% |
| GDP - composition, by sector of origin: | services: 52.3% (2016 est.) |
| Agriculture - products: | grain, potatoes, vegetables, sugar beets, flax; beef, milk |
| Industries: | metal-cutting machine tools, tractors, trucks, earthmovers, motorcycles, synthetic fibers, fertilizer, textiles, refrigerators, washing machines and other household appliances |
| Industrial production growth rate: | -4% (2016 est.) |
| Labor force: | 4.381 million (2016 est.) |
| Labor force - by occupation: | agriculture: 9.7% |
| Labor force - by occupation: | industry: 23.4% |
| Labor force - by occupation: | services: 66.8% (2015 est.) |
| Unemployment rate: | 1% (2016 est.) |
| Unemployment rate: | 1% (2015 est.) |
| Unemployment rate: | note: official registered unemployed; large number of underemployed workers |
| Population below poverty line: | 5.7% (2016 est.) |
| Household income or consumption by percentage share: | lowest 10%: 3.8% |
| Household income or consumption by percentage share: | highest 10%: 21.9% (2008) |
| Distribution of family income - Gini index: | 26.5 (2011) |
| Distribution of family income - Gini index: | 21.7 (1998) |
| Budget: | revenues: $19.6 billion |
| Budget: | expenditures: $18.95 billion (2016 est.) |
| Taxes and other revenues: | 40.1% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | 1.3% of GDP (2016 est.) |
| Public debt: | 47.5% of GDP (2016 est.) |
| Public debt: | 48.5% of GDP (2015 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 11.8% (2016 est.) |
| Inflation rate (consumer prices): | 13.6% (2015 est.) |
| Central bank discount rate: | 14% (19 April 2017) |
| Central bank discount rate: | 15% (15 March 2017) |
| Commercial bank prime lending rate: | 14.4% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 18.08% (31 December 2015 est.) |
| Stock of narrow money: | $2.718 billion (31 December 2016 est.) |
| Stock of narrow money: | $2.301 billion (31 December 2015 est.) |
| Stock of broad money: | $5.431 billion (31 December 2016 est.) |
| Stock of broad money: | $4.8 billion (31 December 2015 est.) |
| Stock of domestic credit: | $20.64 billion (31 December 2016 est.) |
| Stock of domestic credit: | $22.23 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $NA |
| Current account balance: | $-1.703 billion (2016 est.) |
| Current account balance: | $-1.843 billion (2015 est.) |
| Exports: | $22.98 billion (2016 est.) |
| Exports: | $26.16 billion (2015 est.) |
| Exports - commodities: | machinery and equipment, mineral products, chemicals, metals, textiles, foodstuffs |
| Exports - partners: | Russia 46.3%, Ukraine 12.2%, UK 4.6%, Germany 4% (2016) |
| Imports: | $25.57 billion (2016 est.) |
| Imports: | $28.31 billion (2015 est.) |
| Imports - commodities: | mineral products, machinery and equipment, chemicals, foodstuffs, metals |
| Imports - partners: | Russia 55.5%, China 7.8%, Germany 4.9%, Poland 4.4% (2016) |
| Reserves of foreign exchange and gold: | $4.927 billion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $4.176 billion (31 December 2015 est.) |
| Debt - external: | $37.74 billion (31 December 2016 est.) |
| Debt - external: | $37.88 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $6.929 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $7.241 billion (31 December 2015) |
| Stock of direct foreign investment - abroad: | $3.547 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $4.649 billion (31 December 2015) |
| Exchange rates: | Belarusian rubles (BYB/BYR) per US dollar - |
| Exchange rates: | 2 (2016 est.) |
| Exchange rates: | 2 (2015 est.) |
| Exchange rates: | 15,926 (2014 est.) |
| Exchange rates: | 10,224.1 (2013 est.) |
| Exchange rates: | 8,336.9 (2012 est.) |
