| Economy | Greece |
| Current account balance: | -$3.114 billion (2019 est.) |
| Current account balance: | -$6.245 billion (2018 est.) |
| Exports: | $92.925 billion (2019 est.) |
| Exports: | $88.511 billion (2018 est.) |
| Exports: | $81.196 billion (2017 est.) |
| Exports - partners: | Italy 10.6%, Germany 7.1%, Turkey 6.8%, Cyprus 6.5%, Bulgaria 4.9%, Lebanon 4.3% (2017) |
| Exports - commodities: | food and beverages, manufactured goods, petroleum products, chemicals, textiles |
| Imports: | $94.597 billion (2019 est.) |
| Imports: | $91.798 billion (2018 est.) |
| Imports: | $85.092 billion (2017 est.) |
| Imports - commodities: | machinery, transport equipment, fuels, chemicals |
| Imports - partners: | Germany 10.4%, Italy 8.2%, Russia 6.8%, Iraq 6.3%, South Korea 6.1%, China 5.4%, Netherlands 5.3%, France 4.3% (2017) |
| Reserves of foreign exchange and gold: | $7.807 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $6.026 billion (31 December 2015 est.) |
| Debt - external: | $506.6 billion (31 March 2016 est.) |
| Debt - external: | $468.2 billion (31 March 2015 est.) |
| Exchange rates: | euros (EUR) per US dollar - |
| Exchange rates: | 0.82771 (2020 est.) |
| Exchange rates: | 0.90338 (2019 est.) |
| Exchange rates: | 0.87789 (2018 est.) |
| Exchange rates: | 0.885 (2014 est.) |
| Exchange rates: | 0.7634 (2013 est.) |
