| Economy | GREECE |
| Central bank discount rate: | 0.75% (31 December 2013) |
| Central bank discount rate: | 1.5% (31 December 2010) |
| Central bank discount rate: | note: this is the European Central Bank's rate on the marginal lending facility, which offers overnight credit to banks in the euro area |
| Commercial bank prime lending rate: | 6.6% (31 December 2014 est.) |
| Commercial bank prime lending rate: | 7% (31 December 2013 est.) |
| Stock of narrow money: | $124.3 billion (31 December 2014 est.) |
| Stock of narrow money: | $126.7 billion (31 December 2013 est.) |
| Stock of narrow money: | note: see entry for the European Union for money supply for the entire euro area; the European Central Bank (ECB) controls monetary policy for the 18 members of the Economic and Monetary Union (EMU); individual members of the EMU do not control the quantity of money circulating within their own borders |
| Stock of broad money: | $260.9 billion (31 December 2014 est.) |
| Stock of broad money: | $264.6 billion (31 December 2013 est.) |
| Stock of domestic credit: | $302 billion (31 December 2014 est.) |
| Stock of domestic credit: | $332.1 billion (31 December 2013 est.) |
| Market value of publicly traded shares: | $44.58 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $33.65 billion (31 December 2011) |
| Market value of publicly traded shares: | $72.64 billion (31 December 2010 est.) |
| Current account balance: | $2.202 billion (2014 est.) |
| Current account balance: | $1.768 billion (2013 est.) |
| Exports: | $35.8 billion (2014 est.) |
| Exports: | $36.6 billion (2013 est.) |
| Exports - commodities: | food and beverages, manufactured goods, petroleum products, chemicals, textiles |
| Exports - partners: | Turkey 12.2%, Italy 9.4%, Germany 6.8%, Bulgaria 5.3%, Cyprus 5% (2014) |
| Imports: | $62.8 billion (2014 est.) |
| Imports: | $62.19 billion (2013 est.) |
| Imports - commodities: | machinery, transport equipment, fuels, chemicals |
| Imports - partners: | Germany 10.2%, Russia 10%, Iraq 8.2%, Italy 8.1%, China 5.2%, Kazakhstan 5.1%, Netherlands 5%, France 4.6% (2014) |
| Reserves of foreign exchange and gold: | $6.433 billion (February 2015 est.) |
| Reserves of foreign exchange and gold: | $5.752 billion (31 December 2013 est.) |
| Debt - external: | $568.7 billion (30 September 2013 est.) |
| Debt - external: | $577.2 billion (2012) |
| Stock of direct foreign investment - at home: | $30.71 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $27.74 billion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $46.3 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $46.35 billion (31 December 2013 est.) |
| Exchange rates: | euros (EUR) per US dollar - |
| Exchange rates: | 0.7489 (2014 est.) |
| Exchange rates: | 0.7634 (2013 est.) |
| Exchange rates: | 0.78 (2012 est.) |
| Exchange rates: | 0.7185 (2011 est.) |
| Exchange rates: | 0.755 (2010 est.) |
