| Economy | Russia |
| GDP - composition, by end use: | government consumption: 18.8% |
| GDP - composition, by end use: | investment in fixed capital: 22% |
| GDP - composition, by end use: | investment in inventories: 1.4% |
| GDP - composition, by end use: | exports of goods and services: 29.6% |
| GDP - composition, by end use: | imports of goods and services: -23% |
| GDP - composition, by end use: | (2013 est.) |
| GDP - composition, by sector of origin: | agriculture: 4.2% |
| GDP - composition, by sector of origin: | industry: 37.5% |
| GDP - composition, by sector of origin: | services: 58.3% (2013 est.) |
| Agriculture - products: | grain, sugar beets, sunflower seeds, vegetables, fruits; beef, milk |
| Industries: | complete range of mining and extractive industries producing coal, oil, gas, chemicals, and metals; all forms of machine building from rolling mills to high-performance aircraft and space vehicles; defense industries (including radar, missile production, advanced electronic components), shipbuilding; road and rail transportation equipment; communications equipment; agricultural machinery, tractors, and construction equipment; electric power generating and transmitting equipment; medical and scientific instruments; consumer durables, textiles, foodstuffs, handicrafts |
| Industrial production growth rate: | 0.1% (2013 est.) |
| Labor force: | 75.29 million (2013 est.) |
| Labor force - by occupation: | agriculture: 9.7% |
| Labor force - by occupation: | industry: 27.8% |
| Labor force - by occupation: | services: 62.5% (2012) |
| Unemployment rate: | 5.8% (2013 est.) |
| Unemployment rate: | 5.5% (2012 est.) |
| Population below poverty line: | 11% (2013 est.) |
| Household income or consumption by percentage share: | lowest 10%: 5.7% |
| Household income or consumption by percentage share: | highest 10%: 42.4% (2011 est.) |
| Distribution of family income - Gini index: | 42 (2012) |
| Distribution of family income - Gini index: | 41.7 (2011) |
| Budget: | revenues: $439 billion |
| Budget: | expenditures: $450.3 billion (2013 est.) |
| Taxes and other revenues: | 20.7% of GDP (2013 est.) |
| Budget surplus (+) or deficit (-): | -0.5% of GDP (2013 est.) |
| Public debt: | 7.9% of GDP (2013 est.) |
| Public debt: | 8% of GDP (2012 est.) |
| Public debt: | note: data cover general government debt, and includes debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment, debt instruments for the social funds are not sold at public auctions |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 6.8% (2013 est.) |
| Inflation rate (consumer prices): | 5.1% (2012 est.) |
| Central bank discount rate: | 8.25% (31 December 2012 est.) |
| Central bank discount rate: | 8% (31 December 2011) |
| Central bank discount rate: | note: this is the so-called refinancing rate, but in Russia banks do not get refinancing at this rate; this is a reference rate used primarily for fiscal purposes |
| Commercial bank prime lending rate: | 9.3% (31 December 2013 est.) |
| Commercial bank prime lending rate: | 9.1% (31 December 2012 est.) |
| Stock of narrow money: | $452.8 billion (31 December 2012 est.) |
| Stock of narrow money: | $399.3 billion (31 December 2011 est.) |
| Stock of broad money: | $1.061 trillion (31 December 2012 est.) |
| Stock of broad money: | $893.1 billion (31 December 2011 est.) |
| Stock of domestic credit: | $947 billion (31 December 2013 est.) |
| Stock of domestic credit: | $922.6 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $874.7 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $796.4 billion (31 December 2011) |
| Market value of publicly traded shares: | $1.005 trillion (31 December 2010 est.) |
| Current account balance: | $74.8 billion (2012 est.) |
| Current account balance: | $71.43 billion (2012 est.) |
| Exports: | $515 billion (2013 est.) |
| Exports: | $528 billion (2012 est.) |
| Exports - commodities: | petroleum and petroleum products, natural gas, metals, wood and wood products, chemicals, and a wide variety of civilian and military manufactures |
| Exports - partners: | Netherlands 14.6%, China 6.8%, Germany 6.8%, Italy 6.2%, Turkey 5.2%, Ukraine 5.2%, Belarus 4.7% (2012 est.) |
| Imports: | $341 billion (2013 est.) |
| Imports: | $335.7 billion (2012 est.) |
| Imports - commodities: | machinery, vehicles, pharmaceutical products, plastic, semi-finished metal products, meat, fruits and nuts, optical and medical instruments, iron, steel |
| Imports - partners: | China 16.6%, Germany 12.2%, Ukraine 5.7%, Japan 5%, United States 4.9%, France 4.4%, Italy 4.3% (2012 est.) |
| Reserves of foreign exchange and gold: | $515.6 billion (01 December 2013 est.) |
| Reserves of foreign exchange and gold: | $537.6 billion (31 December 2012 est.) |
| Debt - external: | $714.2 billion (30 September 2013 est.) |
| Debt - external: | $636.4 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $552.8 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $497.8 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $439.2 billion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $387.2 billion (31 December 2012 est.) |
| Exchange rates: | Russian rubles (RUB) per US dollar - |
| Exchange rates: | 31.82 (2013 est.) |
| Exchange rates: | 30.84 (2012 est.) |
| Exchange rates: | 30.368 (2010 est.) |
| Exchange rates: | 31.74 (2009) |
| Exchange rates: | 24.853 (2008) |
