| Economy | Russia |
| Gross national saving: | 25.9% of GDP (2016 est.) |
| Gross national saving: | 26.8% of GDP (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 4.7% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 32.4% (2017 est.) |
| GDP - composition, by sector of origin: | services: 62.3% (2017 est.) |
| GDP - composition, by end use: | household consumption: 52.4% (2017 est.) |
| GDP - composition, by end use: | government consumption: 18% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 21.6% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 2.3% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 26.2% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -20.6% (2017 est.) |
| Ease of Doing Business Index scores: | 93.1 (2020) |
| Agriculture - products: | grain, sugar beets, sunflower seeds, vegetables, fruits; beef, milk |
| Industries: | complete range of mining and extractive industries producing coal, oil, gas, chemicals, and metals; all forms of machine building from rolling mills to high-performance aircraft and space vehicles; defense industries (including radar, missile production, advanced electronic components), shipbuilding; road and rail transportation equipment; communications equipment; agricultural machinery, tractors, and construction equipment; electric power generating and transmitting equipment; medical and scientific instruments; consumer durables, textiles, foodstuffs, handicrafts |
| Industrial production growth rate: | -1% (2017 est.) |
| Labor force: | 69.923 million (2020 est.) |
| Labor force - by occupation: | agriculture: 9.4% |
| Labor force - by occupation: | industry: 27.6% |
| Labor force - by occupation: | services: 63% (2016 est.) |
| Unemployment rate: | 4.6% (2019 est.) |
| Unemployment rate: | 4.8% (2018 est.) |
| Population below poverty line: | 13.3% (2015 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.3% |
| Household income or consumption by percentage share: | highest 10%: 32.2% (2012 est.) |
| Budget: | revenues: 258.6 billion (2017 est.) |
| Budget: | expenditures: 281.4 billion (2017 est.) |
| Taxes and other revenues: | 16.4% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -1.4% (of GDP) (2017 est.) |
| Public debt: | 15.5% of GDP (2017 est.) |
| Public debt: | 16.1% of GDP (2016 est.) |
| Public debt: | note: data cover general government debt and include debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intragovernmental debt; intragovernmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment, debt instruments for the social funds are not sold at public auctions |
| Fiscal year: | calendar year |
| Current account balance: | $65.311 billion (2019 est.) |
| Current account balance: | $115.68 billion (2018 est.) |
| Exports: | $551.128 billion (2019 est.) |
| Exports: | $564.314 billion (2018 est.) |
| Exports: | $534.657 billion (2017 est.) |
| Exports - partners: | China 10.9%, Netherlands 10%, Germany 7.1%, Belarus 5.1%, Turkey 4.9% (2017) |
| Exports - commodities: | petroleum and petroleum products, natural gas, metals, wood and wood products, chemicals, and a wide variety of civilian and military manufactures |
| Imports: | $366.919 billion (2019 est.) |
| Imports: | $355.022 billion (2018 est.) |
| Imports: | $345.926 billion (2017 est.) |
| Imports - commodities: | machinery, vehicles, pharmaceutical products, plastic, semi-finished metal products, meat, fruits and nuts, optical and medical instruments, iron, steel |
| Imports - partners: | China 21.2%, Germany 10.7%, US 5.6%, Belarus 5%, Italy 4.5%, France 4.2% (2017) |
| Reserves of foreign exchange and gold: | $432.7 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $377.7 billion (31 December 2016 est.) |
| Debt - external: | $539.6 billion (31 December 2017 est.) |
| Debt - external: | $434.8 billion (31 December 2016 est.) |
| Exchange rates: | Russian rubles (RUB) per US dollar - |
| Exchange rates: | 73.7569 (2020 est.) |
| Exchange rates: | 63.66754 (2019 est.) |
| Exchange rates: | 66.2 (2018 est.) |
| Exchange rates: | 60.938 (2014 est.) |
| Exchange rates: | 38.378 (2013 est.) |
