| Economy | RUSSIA |
| Current account balance: | $65.8 billion (2015 est.) |
| Current account balance: | $59.46 billion (2014 est.) |
| Exports: | $341.5 billion (2015 est.) |
| Exports: | $497.8 billion (2014 est.) |
| Exports - commodities: | petroleum and petroleum products, natural gas, metals, wood and wood products, chemicals, and a wide variety of civilian and military manufactures |
| Exports - partners: | Netherlands 11.9%, China 8.3%, Germany 7.4%, Italy 6.5%, Turkey 5.6%, Belarus 4.4%, Japan 4.2% (2015) |
| Imports: | $193 billion (2015 est.) |
| Imports: | $308 billion (2014 est.) |
| Imports - commodities: | machinery, vehicles, pharmaceutical products, plastic, semi-finished metal products, meat, fruits and nuts, optical and medical instruments, iron, steel |
| Imports - partners: | China 19.2%, Germany 11.2%, US 6.4%, Belarus 4.8%, Italy 4.6% (2015) |
| Reserves of foreign exchange and gold: | $368.4 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $385.5 billion (31 December 2014 est.) |
| Debt - external: | $520.2 billion (31 December 2015 est.) |
| Debt - external: | $600.7 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $342.9 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $365.4 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $336.3 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $384.7 billion (31 December 2014 est.) |
| Exchange rates: | Russian rubles (RUB) per US dollar - |
| Exchange rates: | 60.938 (2015 est.) |
| Exchange rates: | 38.378 (2014 est.) |
| Exchange rates: | 38.378 (2013 est.) |
| Exchange rates: | 30.84 (2012 est.) |
| Exchange rates: | 29.382 (2011 est.) |
