| Economy | RUSSIA |
| Exports - commodities: | petroleum and petroleum products, natural gas, metals, wood and wood products, chemicals, and a wide variety of civilian and military manufactures |
| Exports - partners: | Netherlands 10.5%, China 10.3%, Germany 7.8%, Turkey 5%, Italy 4.4%, Belarus 4.3% (2016) |
| Imports: | $191.6 billion (2016 est.) |
| Imports: | $193 billion (2015 est.) |
| Imports - commodities: | machinery, vehicles, pharmaceutical products, plastic, semi-finished metal products, meat, fruits and nuts, optical and medical instruments, iron, steel |
| Imports - partners: | China 21.6%, Germany 11%, US 6.3%, France 4.8%, Italy 4.4%, Belarus 4.3% (2016) |
| Reserves of foreign exchange and gold: | $377.7 billion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $368.4 billion (31 December 2015 est.) |
| Debt - external: | $434.8 billion (31 December 2016 est.) |
| Debt - external: | $467.7 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $461.7 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $347.7 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $418 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $367.6 billion (31 December 2015 est.) |
| Exchange rates: | Russian rubles (RUB) per US dollar - |
| Exchange rates: | 67.056 (2016 est.) |
| Exchange rates: | 67.056 (2015 est.) |
| Exchange rates: | 60.938 (2014 est.) |
| Exchange rates: | 38.378 (2013 est.) |
| Exchange rates: | 30.84 (2012 est.) |
