| Economy | Georgia |
| Gross national saving: | 12.6% of GDP (2011 est.) |
| Gross national saving: | 10.2% of GDP (2010 est.) |
| GDP - composition, by end use: | household consumption: 72.2% |
| GDP - composition, by end use: | government consumption: 17.7% |
| GDP - composition, by end use: | investment in fixed capital: 24.9% |
| GDP - composition, by end use: | investment in inventories: 4.1% |
| GDP - composition, by end use: | exports of goods and services: 38.8% |
| GDP - composition, by end use: | imports of goods and services: -57.8% |
| GDP - composition, by end use: | (2012 est.) |
| GDP - composition, by sector of origin: | agriculture: 8.4% |
| GDP - composition, by sector of origin: | industry: 23.1% |
| GDP - composition, by sector of origin: | services: 68.4% (2012 est.) |
| Agriculture - products: | citrus, grapes, tea, hazelnuts, vegetables; livestock |
| Industries: | steel, machine tools, electrical appliances, mining (manganese, copper, and gold), chemicals, wood products, wine |
| Industrial production growth rate: | 13% (2012 est.) |
| Labor force: | 1.959 million (2011 est.) |
| Labor force - by occupation: | agriculture: 55.6% |
| Labor force - by occupation: | industry: 8.9% |
| Labor force - by occupation: | services: 35.5% (2006 est.) |
| Unemployment rate: | 15% (2012 est.) |
| Unemployment rate: | 15.1% (2011 est.) |
| Population below poverty line: | 9.2% (2010) |
| Household income or consumption by percentage share: | lowest 10%: 2% |
| Household income or consumption by percentage share: | highest 10%: 31.3% (2008) |
| Distribution of family income - Gini index: | 46 (2011) |
| Distribution of family income - Gini index: | 37.1 (1996) |
| Budget: | revenues: $4.421 billion |
| Budget: | expenditures: $4.905 billion (2012 est.) |
| Taxes and other revenues: | 28.3% of GDP (2012 est.) |
| Budget surplus (+) or deficit (-): | -3.1% of GDP (2012 est.) |
| Public debt: | 36.3% of GDP (2012 est.) |
| Public debt: | 36.5% of GDP (2011 est.) |
| Public debt: | note: data cover general government debt, and includes debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities; Georgia does not maintain intra-governmental debt or social funds |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | -0.9% (2012 est.) |
| Inflation rate (consumer prices): | 8.5% (2011 est.) |
| Central bank discount rate: | 5.25% (31 December 2012) |
| Central bank discount rate: | 6.5% (31 January 2012) |
| Central bank discount rate: | note: this is the Refinancing Rate, the key monetary policy rate of the National Bank of Georgia |
| Commercial bank prime lending rate: | 22.08% (31 December 2012 est.) |
| Commercial bank prime lending rate: | 22.19% (31 December 2011 est.) |
| Stock of narrow money: | $1.965 billion (31 December 2012 est.) |
| Stock of narrow money: | $1.737 billion (31 December 2011 est.) |
| Stock of broad money: | $4.72 billion (31 September 2012 est.) |
| Stock of broad money: | $4.249 billion (31 December 2011 est.) |
| Stock of domestic credit: | $5.518 billion (31 December 2012 est.) |
| Stock of domestic credit: | $4.973 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $795.7 million (31 December 2011) |
| Market value of publicly traded shares: | $1.06 billion (31 December 2010) |
| Market value of publicly traded shares: | $733.3 million (31 December 2009) |
| Current account balance: | $-1.875 billion (2012 est.) |
| Current account balance: | $-1.96 billion (2011 est.) |
| Exports: | $3.458 billion (2012 est.) |
| Exports: | $3.223 billion (2011 est.) |
| Exports - commodities: | vehicles, ferro-alloys, fertilizers, nuts, scrap metal, gold, copper ores |
| Exports - partners: | Azerbaijan 26.4%, Armenia 11%, US 9.5%, Ukraine 7%, Turkey 6%, Canada 4.4% (2012) |
| Imports: | $7.682 billion (2012 est.) |
| Imports: | $6.723 billion (2011 est.) |
| Imports - commodities: | fuels, vehicles, machinery and parts, grain and other foods, pharmaceuticals |
| Imports - partners: | Turkey 17.8%, Azerbaijan 8.1%, Ukraine 7.6%, China 7.2%, Germany 6.9%, Russia 6% (2012) |
| Reserves of foreign exchange and gold: | $2.873 billion (31 December 2012 est.) |
| Reserves of foreign exchange and gold: | $2.818 billion (31 December 2011 est.) |
| Debt - external: | $11.67 billion (31 December 2012 est.) |
| Debt - external: | $11.12 billion (31 December 2011 est.) |
| Stock of direct foreign investment - at home: | $10.49 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $9.749 billion (31 December 2011 est.) |
| Stock of direct foreign investment - abroad: | $1.329 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $1.137 billion (31 December 2011 est.) |
| Exchange rates: | laris (GEL) per US dollar - |
| Exchange rates: | 1.65 (2012 est.) |
| Exchange rates: | 1.69 (2011 est.) |
| Exchange rates: | 1.78 (2010 est.) |
| Exchange rates: | 1.67 (2009 est.) |
| Exchange rates: | 1.47 (2008 est.) |
