| Economy | Georgia |
| GDP - composition by sector: | agriculture: 8.3% |
| GDP - composition by sector: | industry: 23.7% |
| GDP - composition by sector: | services: 68% (2012 est.) |
| Labor force: | 1.945 million (2010 est.) |
| Labor force - by occupation: | agriculture: 55.6% |
| Labor force - by occupation: | industry: 8.9% |
| Labor force - by occupation: | services: 35.5% (2006 est.) |
| Unemployment rate: | 16.3% (2010 est.) |
| Unemployment rate: | 16.9% (2009 est.) |
| Population below poverty line: | 9.7% (2010) |
| Household income or consumption by percentage share: | lowest 10%: 2% |
| Household income or consumption by percentage share: | highest 10%: 31.3% (2008) |
| Distribution of family income - Gini index: | 40.8 (2009) |
| Distribution of family income - Gini index: | 37.1 (1996) |
| Investment (gross fixed): | 22.7% of GDP (2012 est.) |
| Budget: | revenues: $4.388 billion |
| Budget: | expenditures: $3.605 billion (2012 est.) |
| Taxes and other revenues: | 27.8% of GDP (2012 est.) |
| Budget surplus (+) or deficit (-): | 5% of GDP (2012 est.) |
| Public debt: | 27.7% of GDP (2012 est.) |
| Public debt: | 29.1% of GDP (2011 est.) |
| Public debt: | note: data cover general government debt, and includes debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities; Georgia does not maintain intra-governmental debt or social funds |
| Inflation rate (consumer prices): | 4.5% (2012 est.) |
| Inflation rate (consumer prices): | 9% (2011 est.) |
| Central bank discount rate: | 6.5% (31 January 2012) |
| Central bank discount rate: | 8% (25 December 2008) |
| Central bank discount rate: | note: this is the Refinancing Rate, the key monetary policy rate of the National Bank of Georgia |
| Commercial bank prime lending rate: | 21.1% (31 December 2012 est.) |
| Commercial bank prime lending rate: | 25.87% (31 December 2011 est.) |
| Stock of narrow money: | $1.636 billion (31 December 2012 est.) |
| Stock of narrow money: | $1.737 billion (31 December 2011 est.) |
| Stock of broad money: | $4.249 billion (31 December 2011 est.) |
| Stock of broad money: | $3.497 billion (31 December 2010 est.) |
| Stock of domestic credit: | $2.344 billion (31 December 2012 est.) |
| Stock of domestic credit: | $4.973 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $795.7 million (31 December 2011) |
| Market value of publicly traded shares: | $1.06 billion (31 December 2010) |
| Market value of publicly traded shares: | $733.3 million (31 December 2009) |
| Agriculture - products: | citrus, grapes, tea, hazelnuts, vegetables; livestock |
| Industrial production growth rate: | 11.8% (2010 est.) |
| Current account balance: | -$1.669 billion (2012 est.) |
| Current account balance: | -$1.799 billion (2011 est.) |
| Exports: | $3.324 billion (2012 est.) |
| Exports: | $3.326 billion (2011 est.) |
| Exports - commodities: | vehicles, ferro-alloys, fertilizers, nuts, scrap metal, gold, copper ores |
| Exports - partners: | Azerbaijan 17.3%, Turkey 10.4%, Armenia 9.9%, Kazakhstan 7.3%, Ukraine 6.2%, US 5.5%, Canada 5.1%, Bulgaria 4.7% (2011) |
| Imports: | $6.623 billion (2012 est.) |
| Imports: | $6.683 billion (2011 est.) |
| Imports - commodities: | fuels, vehicles, machinery and parts, grain and other foods, pharmaceuticals |
| Imports - partners: | Turkey 17.8%, Ukraine 10%, Azerbaijan 8.3%, China 7.6%, Germany 6.8%, Russia 5.6% (2011) |
| Reserves of foreign exchange and gold: | $3.586 billion (31 December 2012 est.) |
| Reserves of foreign exchange and gold: | $2.818 billion (31 December 2011 est.) |
| Debt - external: | $8.2 billion (31 December 2012) |
| Debt - external: | $11.08 billion (31 December 2011) |
| Stock of direct foreign investment - at home: | $9.305 billion (31 December 2011 est.) |
| Stock of direct foreign investment - at home: | $8.172 billion (31 December 2010 est.) |
| Stock of direct foreign investment - abroad: | $741.6 million (31 December 2011 est.) |
| Stock of direct foreign investment - abroad: | $660.3 million (31 December 2010 est.) |
| Exchange rates: | laris (GEL) per US dollar - |
| Exchange rates: | 1.66 (2012 est.) |
| Exchange rates: | 1.6865 (2011 est.) |
| Exchange rates: | 1.7823 (2010 est.) |
| Exchange rates: | 1.6705 (2009 est.) |
| Exchange rates: | 1.47 (2008 est.) |
| Fiscal year: | calendar year |
