| Economy | GEORGIA |
| Imports - commodities: | fuels, vehicles, machinery and parts, grain and other foods, pharmaceuticals |
| Imports - partners: | Canada 18.6%, Turkey 14%, Russia 7%, Ireland 6.5%, China 5.7%, Azerbaijan 5.1%, Germany 4.4%, Ukraine 4.3% (2016) |
| Reserves of foreign exchange and gold: | $2.756 billion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $2.521 billion (31 December 2015 est.) |
| Debt - external: | $14.08 billion (31 December 2016 est.) |
| Debt - external: | $14.85 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $14.66 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $12.95 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $2.185 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $1.939 billion (31 December 2015 est.) |
| Exchange rates: | laris (GEL) per US dollar - |
| Exchange rates: | 2.3668 (2016 est.) |
| Exchange rates: | 2.3668 (2015 est.) |
| Exchange rates: | 2.2694 (2014 est.) |
| Exchange rates: | 1.7657 (2013 est.) |
| Exchange rates: | 1.65 (2012 est.) |
