| Economy | World |
| Economy - overview: | Despite these vexing problems, the world economy also shows great promise. Technology has made possible further advances in a wide range of fields, from agriculture, to medicine, alternative energy, metallurgy, and transportation. Improved global communications have greatly reduced the costs of international trade, helping the world gain from the international division of labor, raise living standards, and reduce income disparities among nations. Much of the resilience of the world economy in the aftermath of the financial crisis resulted from government and central bank leaders around the globe working in concert to stem the financial onslaught, knowing well the lessons of past economic failures. |
| GDP (purchasing power parity): | $83.66 trillion (2012 est.) |
| GDP (purchasing power parity): | $81.17 trillion (2011 est.) |
| GDP (purchasing power parity): | $78.23 trillion (2010 est.) |
| GDP (purchasing power parity): | note: data are in 2012 US dollars |
| GDP (official exchange rate): | GWP (gross world product): $71.62 trillion (2012 est.) |
| GDP - real growth rate: | 3.1% (2012 est.) |
| GDP - real growth rate: | 3.8% (2011 est.) |
| GDP - real growth rate: | 5.1% (2010 est.) |
| GDP - per capita (PPP): | $12,500 (2012 est.) |
| GDP - per capita (PPP): | $12,300 (2011 est.) |
| GDP - per capita (PPP): | $12,000 (2010 est.) |
| GDP - per capita (PPP): | note: data are in 2012 US dollars |
| GDP - composition, by end use: | household consumption: 62% |
| GDP - composition, by end use: | government consumption: 18.5% |
| GDP - composition, by end use: | investment in fixed capital: 19.4% |
| GDP - composition, by end use: | investment in inventories: 0.5% |
| GDP - composition, by end use: | exports of goods and services: 29.3% |
| GDP - composition, by end use: | imports of goods and services: -29.7% |
| GDP - composition, by end use: | (2011 est.) |
| GDP - composition, by sector of origin: | agriculture: 5.9% |
| GDP - composition, by sector of origin: | industry: 30.7% |
| GDP - composition, by sector of origin: | services: 63.4% (2012 est.) |
| Industries: | dominated by the onrush of technology, especially in computers, robotics, telecommunications, and medicines and medical equipment; most of these advances take place in OECD nations; only a small portion of non-OECD countries have succeeded in rapidly adjusting to these technological forces; the accelerated development of new technologies is complicating already grim environmental problems |
| Industrial production growth rate: | 3.9% (2011 est.) |
| Labor force: | 3.297 billion (2012 est.) |
| Labor force - by occupation: | agriculture: 35.3% |
| Labor force - by occupation: | industry: 22.7% |
| Labor force - by occupation: | services: 42% (2008 est.) |
| Unemployment rate: | 9% (2012 est.) |
| Unemployment rate: | 8.4% (2011 est.) |
| Unemployment rate: | note: 30% combined unemployment and underemployment in many non-industrialized countries; developed countries typically 4%-12% unemployment (2007 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.8% |
| Household income or consumption by percentage share: | highest 10%: 28.2% (2007 est.) |
| Distribution of family income - Gini index: | 39 (2007 est.) |
| Distribution of family income - Gini index: | 37.2 (1998 est.) |
| Budget: | revenues: $20.69 trillion |
| Budget: | expenditures: $23.38 trillion (2012 est.) |
| Taxes and other revenues: | 28.9% of GDP (2012 est.) |
| Budget surplus (+) or deficit (-): | -3.8% of GDP (2012 est.) |
| Public debt: | 64.5% of GDP (2012 est.) |
| Public debt: | 63.4% of GDP (2011 est.) |
| Inflation rate (consumer prices): | world average 4.1% (2012 est.) |
| Inflation rate (consumer prices): | developed countries 2.3% (2012 est.) |
| Inflation rate (consumer prices): | developing countries 5.1% (2012 est.) |
| Inflation rate (consumer prices): | note: the above estimates are weighted averages; inflation in developed countries is 0% to 4% typically, in developing countries, 5% to 10% typically; national inflation rates vary widely in individual cases; inflation rates have declined for most countries for the last several years, held in check by increasing international competition from several low wage countries, and by soft demand as a result of the world financial crisis (2011 est.) |
| Stock of narrow money: | $27.02 trillion (31 December 2012 est.) |
| Stock of narrow money: | $25.53 trillion (31 December 2011 est.) |
| Stock of broad money: | $81.68 trillion (31 December 2012 est.) |
| Stock of broad money: | $77.49 trillion (31 December 2011 est.) |
| Stock of domestic credit: | $108.7 trillion (31 December 2012 est.) |
| Stock of domestic credit: | $101.7 trillion (31 December 2011 est.) |
| Market value of publicly traded shares: | $47.04 trillion (31 December 2011) |
| Market value of publicly traded shares: | $56.37 trillion (31 December 2010) |
| Market value of publicly traded shares: | $48.71 trillion (31 December 2009 est.) |
| Exports: | $18.26 trillion (2012 est.) |
| Exports: | $18.05 trillion (2011 est.) |
| Exports - commodities: | the whole range of industrial and agricultural goods and services |
| Exports - commodities: | top ten - share of world trade: electrical machinery, including computers 14.8%; mineral fuels, including oil, coal, gas, and refined products 14.4%; nuclear reactors, boilers, and parts 14.2%; cars, trucks, and buses 8.9%; scientific and precision instruments 3.5%; plastics 3.4%; iron and steel 2.7%; organic chemicals 2.6%; pharmaceutical products 2.6%; diamonds, pearls, and precious stones 1.9% |
| Imports: | $17.84 trillion (2012 est.) |
| Imports: | $17.66 trillion (2011 est.) |
| Imports - commodities: | the whole range of industrial and agricultural goods and services |
| Imports - commodities: | top ten - share of world trade: see listing for exports |
| Debt - external: | $72.85 trillion (31 December 2012 est.) |
| Debt - external: | $69.6 trillion (31 December 2011 est.) |
| Debt - external: | note: this figure is the sum total of all countries' external debt, both public and private |
| Stock of direct foreign investment - at home: | $21.89 trillion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $20.43 trillion (31 December 2011 est.) |
| Stock of direct foreign investment - abroad: | $23.11 trillion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $21.54 trillion (31 December 2011 est.) |
