| Economy | Namibia |
| Market value of publicly traded shares: | $1.176 billion (31 December 2010 est.) |
| Current account balance: | -$438 million (2017 est.) |
| Current account balance: | -$1.555 billion (2016 est.) |
| Exports: | $3.995 billion (2017 est.) |
| Exports: | $4.003 billion (2016 est.) |
| Exports - partners: | South Africa 27.1%, Botswana 14.9%, Switzerland 12%, Zambia 5.7%, China 4.6%, Italy 4.4% (2017) |
| Exports - commodities: | diamonds, copper, gold, zinc, lead, uranium; cattle, white fish and mollusks |
| Imports: | $5.384 billion (2017 est.) |
| Imports: | $5.625 billion (2016 est.) |
| Imports - commodities: | foodstuffs; petroleum products and fuel, machinery and equipment, chemicals |
| Imports - partners: | South Africa 61.4% (2017) |
| Reserves of foreign exchange and gold: | $2.432 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $1.834 billion (31 December 2016 est.) |
| Debt - external: | $7.969 billion (31 December 2017 est.) |
| Debt - external: | $6.904 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | NA |
| Stock of direct foreign investment - abroad: | NA |
| Exchange rates: | Namibian dollars (NAD) per US dollar - |
| Exchange rates: | 13.67 (2017 est.) |
| Exchange rates: | 14.7096 (2016 est.) |
| Exchange rates: | 14.7096 (2015 est.) |
| Exchange rates: | 12.7589 (2014 est.) |
| Exchange rates: | 10.8526 (2013 est.) |
