| Economy | NAMIBIA |
| GDP - composition, by end use: | imports of goods and services: -66.7% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 6.2% |
| GDP - composition, by sector of origin: | industry: 25.9% |
| GDP - composition, by sector of origin: | services: 67.9% (2016 est.) |
| Agriculture - products: | millet, sorghum, peanuts, grapes; livestock; fish |
| Industries: | meatpacking, fish processing, dairy products, pasta, beverages; mining (diamonds, lead, zinc, tin, silver, tungsten, uranium, copper) |
| Industrial production growth rate: | -9% (2016 est.) |
| Labor force: | 939,600 (2016 est.) |
| Labor force - by occupation: | agriculture: 31% |
| Labor force - by occupation: | industry: 14% |
| Labor force - by occupation: | services: 54% |
| Labor force - by occupation: | note: about half of Namibia's people are unemployed while about two-thirds live in rural areas; roughly two-thirds of rural dwellers rely on subsistence agriculture (2013 est.) |
| Unemployment rate: | 28.1% (2014 est.) |
| Unemployment rate: | 29.6% (2013 est.) |
| Population below poverty line: | 28.7% (2010 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.4% |
| Household income or consumption by percentage share: | highest 10%: 42% (2010) |
| Distribution of family income - Gini index: | 59.7 (2010) |
| Distribution of family income - Gini index: | 70.7 (2003) |
| Budget: | revenues: $3.502 billion |
| Budget: | expenditures: $4.197 billion (2016 est.) |
| Taxes and other revenues: | 32.9% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -6.5% of GDP (2016 est.) |
| Public debt: | 40.7% of GDP (2016 est.) |
| Public debt: | 39.9% of GDP (2015 est.) |
| Fiscal year: | 1 April - 31 March |
| Inflation rate (consumer prices): | 6.7% (2016 est.) |
| Inflation rate (consumer prices): | 3.4% (2015 est.) |
| Central bank discount rate: | 7% (12 April 2017) |
| Central bank discount rate: | 6.5% (31 December 2015) |
| Commercial bank prime lending rate: | 9.87% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 9.32% (31 December 2015 est.) |
| Stock of narrow money: | $2.898 billion (31 December 2016 est.) |
| Stock of narrow money: | $2.582 billion (31 December 2015 est.) |
| Stock of broad money: | $6.281 billion (31 December 2016 est.) |
| Stock of broad money: | $5.271 billion (31 December 2015 est.) |
| Stock of domestic credit: | $7.006 billion (31 December 2016 est.) |
| Stock of domestic credit: | $5.36 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $1.305 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $1.152 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $1.176 billion (31 December 2010 est.) |
| Current account balance: | $-1.529 billion (2016 est.) |
| Current account balance: | $-1.7 billion (2015 est.) |
| Exports: | $4.003 billion (2016 est.) |
| Exports: | $4.015 billion (2015 est.) |
| Exports - commodities: | diamonds, copper, gold, zinc, lead, uranium; cattle, white fish and mollusks |
| Exports - partners: | Switzerland 20%, South Africa 17.1%, Botswana 15%, Zambia 6.7%, Spain 4.6%, Italy 4.2% (2016) |
| Imports: | $6.441 billion (2016 est.) |
| Imports: | $6.914 billion (2015 est.) |
| Imports - commodities: | foodstuffs; petroleum products and fuel, machinery and equipment, chemicals |
| Imports - partners: | South Africa 57.1%, Botswana 6.8%, Zambia 4.1% (2016) |
| Reserves of foreign exchange and gold: | $1.834 billion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $1.688 billion (31 December 2015 est.) |
| Debt - external: | $6.904 billion (31 December 2016 est.) |
| Debt - external: | $6.155 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $NA |
| Stock of direct foreign investment - abroad: | $NA |
| Exchange rates: | Namibian dollars (NAD) per US dollar - |
| Exchange rates: | 14.7096 (2016 est.) |
| Exchange rates: | 14.7096 (2015 est.) |
| Exchange rates: | 12.7589 (2014 est.) |
| Exchange rates: | 10.8526 (2013 est.) |
| Exchange rates: | 8.2 (2012 est.) |
