| Economy | Namibia |
| Gross national saving: | 19.1% of GDP (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 6.7% (2016 est.) |
| GDP - composition, by sector of origin: | industry: 26.3% (2016 est.) |
| GDP - composition, by sector of origin: | services: 67% (2017 est.) |
| GDP - composition, by end use: | household consumption: 68.7% (2017 est.) |
| GDP - composition, by end use: | government consumption: 24.5% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 16% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 1.6% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 36.7% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -47.5% (2017 est.) |
| Ease of Doing Business Index scores: | 72.2 (2020) |
| Agriculture - products: | millet, sorghum, peanuts, grapes; livestock; fish |
| Industries: | meatpacking, fish processing, dairy products, pasta, beverages; mining (diamonds, lead, zinc, tin, silver, tungsten, uranium, copper) |
| Industrial production growth rate: | -0.4% (2017 est.) |
| Labor force: | 956,800 (2017 est.) |
| Labor force - by occupation: | agriculture: 31% |
| Labor force - by occupation: | industry: 14% |
| Labor force - by occupation: | services: 54% (2013 est.) |
| Labor force - by occupation: | note: about half of Namibia's people are unemployed while about two-thirds live in rural areas; roughly two-thirds of rural dwellers rely on subsistence agriculture |
| Unemployment rate: | 34% (2016 est.) |
| Unemployment rate: | 28.1% (2014 est.) |
| Population below poverty line: | 28.7% (2010 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.4% |
| Household income or consumption by percentage share: | highest 10%: 42% (2010) |
| Budget: | revenues: 4.268 billion (2017 est.) |
| Budget: | expenditures: 5 billion (2017 est.) |
| Taxes and other revenues: | 32.2% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -5.5% (of GDP) (2017 est.) |
| Public debt: | 41.3% of GDP (2017 est.) |
| Public debt: | 39.5% of GDP (2016 est.) |
| Fiscal year: | 1 April - 31 March |
| Current account balance: | -$216 million (2019 est.) |
| Current account balance: | -$465 million (2018 est.) |
| Exports: | $6.087 billion (2019 est.) |
| Exports: | $6.225 billion (2018 est.) |
| Exports: | $5.347 billion (2017 est.) |
| Exports - partners: | South Africa 27.1%, Botswana 14.9%, Switzerland 12%, Zambia 5.7%, China 4.6%, Italy 4.4% (2017) |
| Exports - commodities: | diamonds, copper, gold, zinc, lead, uranium; cattle, white fish and mollusks |
| Imports: | $9.921 billion (2019 est.) |
| Imports: | $9.611 billion (2018 est.) |
| Imports: | $9.249 billion (2017 est.) |
| Imports - commodities: | foodstuffs; petroleum products and fuel, machinery and equipment, chemicals |
| Imports - partners: | South Africa 61.4% (2017) |
| Reserves of foreign exchange and gold: | $2.432 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $1.834 billion (31 December 2016 est.) |
| Debt - external: | $7.969 billion (31 December 2017 est.) |
| Debt - external: | $6.904 billion (31 December 2016 est.) |
| Exchange rates: | Namibian dollars (NAD) per US dollar - |
| Exchange rates: | 13.67 (2017 est.) |
| Exchange rates: | 14.7096 (2016 est.) |
| Exchange rates: | 14.7096 (2015 est.) |
| Exchange rates: | 12.7589 (2014 est.) |
| Exchange rates: | 10.8526 (2013 est.) |
