| Economy | BAHRAIN |
| Current account balance: | $-752.1 million (2015 est.) |
| Exports: | $12.78 billion (2016 est.) |
| Exports: | $16.54 billion (2015 est.) |
| Exports - commodities: | petroleum and petroleum products, aluminum, textiles |
| Exports - partners: | Saudi Arabia 18.3%, UAE 17.5%, US 11.1%, Japan 8.7%, Qatar 4.8%, China 4.2% (2016) |
| Imports: | $13.59 billion (2016 est.) |
| Imports: | $15.71 billion (2015 est.) |
| Imports - commodities: | crude oil, machinery, chemicals |
| Imports - partners: | China 9.7%, US 8.6%, UAE 7.4%, Japan 6.1%, Saudi Arabia 5.5% (2016) |
| Reserves of foreign exchange and gold: | $3.094 billion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $3.387 billion (31 December 2015 est.) |
| Debt - external: | $42.55 billion (31 December 2016 est.) |
| Debt - external: | $40.07 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $21.56 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $21.28 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $10.5 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $10.33 billion (31 December 2015 est.) |
| Exchange rates: | Bahraini dinars (BHD) per US dollar - |
| Exchange rates: | 0.376 (2016 est.) |
| Exchange rates: | 0.376 (2015 est.) |
| Exchange rates: | 0.376 (2014 est.) |
| Exchange rates: | 0.376 (2013 est.) |
| Exchange rates: | 0.376 (2012 est.) |
