| Economy | Bahrain |
| GDP - per capita (PPP): | $48,400 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 19.8% of GDP (2017 est.) |
| Gross national saving: | 21.2% of GDP (2016 est.) |
| Gross national saving: | 22% of GDP (2015 est.) |
| GDP - composition, by end use: | household consumption: 45.8% (2017 est.) |
| GDP - composition, by end use: | government consumption: 15.5% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 26.1% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 0.4% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 80.2% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -67.9% (2017 est.) |
| GDP - composition, by sector of origin: | agriculture: 0.3% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 39.3% (2017 est.) |
| GDP - composition, by sector of origin: | services: 60.4% (2017 est.) |
| Agriculture - products: | fruit, vegetables; poultry, dairy products; shrimp, fish |
| Industries: | petroleum processing and refining, aluminum smelting, iron pelletization, fertilizers, Islamic and offshore banking, insurance, ship repairing, tourism |
| Industrial production growth rate: | 0.6% (2017 est.) |
| Labor force: | 831,600 (2017 est.) |
| Labor force: | note: excludes unemployed; 44% of the population in the 15-64 age group is non-national |
| Labor force - by occupation: | agriculture: 1% |
| Labor force - by occupation: | industry: 32% |
| Labor force - by occupation: | services: 67% (2004 est.) |
| Unemployment rate: | 3.6% (2017 est.) |
| Unemployment rate: | 3.7% (2016 est.) |
| Unemployment rate: | note: official estimate; actual rate is higher |
| Population below poverty line: | NA |
| Household income or consumption by percentage share: | lowest 10%: NA |
| Household income or consumption by percentage share: | highest 10%: NA |
| Budget: | revenues: 5.854 billion (2017 est.) |
| Budget: | expenditures: 9.407 billion (2017 est.) |
| Taxes and other revenues: | 16.6% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -10.1% (of GDP) (2017 est.) |
| Public debt: | 88.5% of GDP (2017 est.) |
| Public debt: | 81.4% of GDP (2016 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 1.4% (2017 est.) |
| Inflation rate (consumer prices): | 2.8% (2016 est.) |
| Central bank discount rate: | 1.75% (18 December 2017) |
| Central bank discount rate: | 0.5% (31 December 2010) |
| Commercial bank prime lending rate: | 5.33% (31 December 2017 est.) |
| Commercial bank prime lending rate: | 5.18% (31 December 2016 est.) |
| Stock of narrow money: | $9.185 billion (31 December 2017 est.) |
| Stock of narrow money: | $9.078 billion (31 December 2016 est.) |
| Stock of broad money: | $9.185 billion (31 December 2017 est.) |
| Stock of broad money: | $9.078 billion (31 December 2016 est.) |
| Stock of domestic credit: | $29.72 billion (31 December 2017 est.) |
| Stock of domestic credit: | $29.08 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | $19.25 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $22.07 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $18.57 billion (31 December 2013 est.) |
| Current account balance: | -$1.6 billion (2017 est.) |
| Current account balance: | -$1.493 billion (2016 est.) |
| Exports: | $15.38 billion (2017 est.) |
| Exports: | $12.78 billion (2016 est.) |
| Exports - partners: | UAE 19.6%, Saudi Arabia 11.7%, US 10.8%, Oman 8.1%, China 6.5%, Qatar 5.7%, Japan 4.2% (2017) |
| Exports - commodities: | petroleum and petroleum products, aluminum, textiles |
| Imports: | $16.08 billion (2017 est.) |
| Imports: | $13.59 billion (2016 est.) |
| Imports - commodities: | crude oil, machinery, chemicals |
| Imports - partners: | China 8.8%, UAE 7.2%, US 7.1%, Australia 5.3%, Japan 4.8% (2017) |
| Reserves of foreign exchange and gold: | $2.349 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $3.094 billion (31 December 2016 est.) |
| Debt - external: | $52.15 billion (31 December 2017 est.) |
| Debt - external: | $42.55 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $22.08 billion (31 December 2017 est.) |
| Stock of direct foreign investment - at home: | $21.56 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $10.66 billion (31 December 2017 est.) |
| Stock of direct foreign investment - abroad: | $10.5 billion (31 December 2016 est.) |
| Exchange rates: | Bahraini dinars (BHD) per US dollar - |
| Exchange rates: | 0.376 (2017 est.) |
| Exchange rates: | 0.376 (2016 est.) |
| Exchange rates: | 0.376 (2015 est.) |
| Exchange rates: | 0.376 (2014 est.) |
| Exchange rates: | 0.376 (2013 est.) |
