| Economy | Chad |
| GDP (official exchange rate): | $9.872 billion (2017 est.) (2017 est.) |
| GDP - real growth rate: | -3.1% (2017 est.) |
| GDP - real growth rate: | -6.4% (2016 est.) |
| GDP - real growth rate: | 1.8% (2015 est.) |
| GDP - per capita (PPP): | $2,300 (2017 est.) |
| GDP - per capita (PPP): | $2,500 (2016 est.) |
| GDP - per capita (PPP): | $2,700 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 15.5% of GDP (2017 est.) |
| Gross national saving: | 7.5% of GDP (2016 est.) |
| Gross national saving: | 13.3% of GDP (2015 est.) |
| GDP - composition, by end use: | household consumption: 75.1% (2017 est.) |
| GDP - composition, by end use: | government consumption: 4.4% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 24.1% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 0.7% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 35.1% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -39.4% (2017 est.) |
| GDP - composition, by sector of origin: | agriculture: 52.3% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 14.7% (2017 est.) |
| GDP - composition, by sector of origin: | services: 33.1% (2017 est.) |
| Agriculture - products: | cotton, sorghum, millet, peanuts, sesame, corn, rice, potatoes, onions, cassava (manioc, tapioca), cattle, sheep, goats, camels |
| Industries: | oil, cotton textiles, brewing, natron (sodium carbonate), soap, cigarettes, construction materials |
| Industrial production growth rate: | -4% (2017 est.) |
| Labor force: | 5.654 million (2017 est.) |
| Labor force - by occupation: | agriculture: 80% |
| Labor force - by occupation: | industry: 20% (2006 est.) |
| Unemployment rate: | NA |
| Population below poverty line: | 46.7% (2011 est.) |
| Household income or consumption by percentage share: | lowest 10%: 30.8% (2003) |
| Household income or consumption by percentage share: | highest 10%: 30.8% (2003) |
| Distribution of family income - Gini index: | 43.3 (2011 est.) |
| Budget: | revenues: 1.337 billion (2017 est.) |
| Budget: | expenditures: 1.481 billion (2017 est.) |
| Taxes and other revenues: | 13.5% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -1.5% (of GDP) (2017 est.) |
| Public debt: | 52.5% of GDP (2017 est.) |
| Public debt: | 52.4% of GDP (2016 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | -0.9% (2017 est.) |
| Inflation rate (consumer prices): | -1.1% (2016 est.) |
| Central bank discount rate: | 4.25% (31 December 2009) |
| Central bank discount rate: | 4.75% (31 December 2008) |
| Commercial bank prime lending rate: | 15.5% (31 December 2017 est.) |
| Commercial bank prime lending rate: | 15.5% (31 December 2016 est.) |
| Stock of narrow money: | $1.397 billion (31 December 2017 est.) |
| Stock of narrow money: | $1.241 billion (31 December 2016 est.) |
| Stock of broad money: | $1.397 billion (31 December 2017 est.) |
| Stock of broad money: | $1.241 billion (31 December 2016 est.) |
| Stock of domestic credit: | $2.681 billion (31 December 2017 est.) |
| Stock of domestic credit: | $2.387 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | NA |
| Current account balance: | -$558 million (2017 est.) |
| Current account balance: | -$926 million (2016 est.) |
| Exports: | $2.464 billion (2017 est.) |
| Exports: | $2.187 billion (2016 est.) |
| Exports - partners: | US 38.7%, China 16.6%, Netherlands 15.7%, UAE 12.2%, India 6.3% (2017) |
| Exports - commodities: | oil, livestock, cotton, sesame, gum arabic, shea butter |
| Imports: | $2.16 billion (2017 est.) |
| Imports: | $1.997 billion (2016 est.) |
| Imports - commodities: | machinery and transportation equipment, industrial goods, foodstuffs, textiles |
| Imports - partners: | China 19.9%, Cameroon 17.2%, France 17%, US 5.4%, India 4.9%, Senegal 4.5% (2017) |
| Reserves of foreign exchange and gold: | $22.9 million (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $20.92 million (31 December 2016 est.) |
| Debt - external: | $1.724 billion (31 December 2017 est.) |
| Debt - external: | $1.281 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $4.5 billion (2006 est.) |
| Stock of direct foreign investment - abroad: | NA |
| Exchange rates: | Cooperation Financiere en Afrique Centrale francs (XAF) per US dollar - |
| Exchange rates: | 605.3 (2017 est.) |
| Exchange rates: | 593.01 (2016 est.) |
| Exchange rates: | 593.01 (2015 est.) |
| Exchange rates: | 591.45 (2014 est.) |
| Exchange rates: | 494.42 (2013 est.) |
