| Economy | BELARUS |
| Labor force: | 4.546 million (2013 est.) |
| Labor force - by occupation: | agriculture: 9.3% |
| Labor force - by occupation: | industry: 32.7% |
| Labor force - by occupation: | services: 58% (2014 est.) |
| Unemployment rate: | 0.7% (2014 est.) |
| Unemployment rate: | 0.5% (2013 est.) |
| Unemployment rate: | note: official registered unemployed; large number of underemployed workers |
| Population below poverty line: | 6.3% (2012 est.) |
| Household income or consumption by percentage share: | lowest 10%: 3.8% |
| Household income or consumption by percentage share: | highest 10%: 21.9% (2008) |
| Distribution of family income - Gini index: | 26.5 (2011) |
| Distribution of family income - Gini index: | 21.7 (1998) |
| Budget: | revenues: $22.97 billion |
| Budget: | expenditures: $22.17 billion (2015 est.) |
| Taxes and other revenues: | 42.1% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | 1.5% of GDP (2015 est.) |
| Public debt: | 48.5% of GDP (2015 est.) |
| Public debt: | 34.1% of GDP (2014 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 13.6% (2015 est.) |
| Inflation rate (consumer prices): | 18.3% (2014 est.) |
| Central bank discount rate: | 20% (13 August 2014) |
| Central bank discount rate: | 10.5% (31 December 2010) |
| Commercial bank prime lending rate: | 18.08% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 18.74% (31 December 2014 est.) |
| Stock of narrow money: | $2.301 billion (31 December 2015 est.) |
| Stock of narrow money: | $3.524 billion (31 December 2014 est.) |
| Stock of broad money: | $5.651 billion (31 December 2015 est.) |
| Stock of broad money: | $7.608 billion (31 December 2014 est.) |
| Stock of domestic credit: | $22.23 billion (31 December 2015 est.) |
| Stock of domestic credit: | $27.3 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $NA |
| Current account balance: | -$1.064 billion (2015 est.) |
| Current account balance: | -$5.197 billion (2014 est.) |
| Exports: | $26.19 billion (2015 est.) |
| Exports: | $35.42 billion (2014 est.) |
| Exports - commodities: | machinery and equipment, mineral products, chemicals, metals, textiles, foodstuffs |
| Exports - partners: | Russia 39%, UK 11.2%, Ukraine 9.5%, Netherlands 4.3%, Germany 4.1% (2015) |
| Imports: | $28.33 billion (2015 est.) |
| Imports: | $38.06 billion (2014 est.) |
| Imports - commodities: | mineral products, machinery and equipment, chemicals, foodstuffs, metals |
| Imports - partners: | Russia 56.6%, China 7.9%, Germany 4.6% (2015) |
| Reserves of foreign exchange and gold: | $4.176 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $5.059 billion (31 December 2014 est.) |
| Debt - external: | $34.85 billion (31 December 2015 est.) |
| Debt - external: | $40.01 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $10.17 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $6 billion (31 December 2014 est.) |
| Exchange rates: | Belarusian rubles (BYB/BYR) per US dollar - |
| Exchange rates: | 15,926 (2015 est.) |
| Exchange rates: | 10,224.1 (2014 est.) |
| Exchange rates: | 10,224.1 (2013 est.) |
| Exchange rates: | 8,336.9 (2012 est.) |
| Exchange rates: | 4,974.6 (2011 est.) |
