| Economy | Tajikistan |
| GDP - real growth rate: | 7.1% (2017 est.) |
| GDP - real growth rate: | 6.9% (2016 est.) |
| GDP - real growth rate: | 6% (2015 est.) |
| GDP - per capita (PPP): | $3,200 (2017 est.) |
| GDP - per capita (PPP): | $3,000 (2016 est.) |
| GDP - per capita (PPP): | $2,900 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 24.4% of GDP (2017 est.) |
| Gross national saving: | 15.4% of GDP (2016 est.) |
| Gross national saving: | 11.8% of GDP (2015 est.) |
| GDP - composition, by end use: | household consumption: 98.4% (2017 est.) |
| GDP - composition, by end use: | government consumption: 13.3% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 11.7% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 2.5% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 10.7% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -36.6% (2017 est.) |
| GDP - composition, by sector of origin: | agriculture: 28.6% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 25.5% (2017 est.) |
| GDP - composition, by sector of origin: | services: 45.9% (2017 est.) |
| Agriculture - products: | cotton, grain, fruits, grapes, vegetables; cattle, sheep, goats |
| Industries: | aluminum, cement, coal, gold, silver, antimony, textile, vegetable oil |
| Industrial production growth rate: | 1% (2017 est.) |
| Labor force: | 2.295 million (2016 est.) |
| Labor force - by occupation: | agriculture: 43% |
| Labor force - by occupation: | industry: 10.6% |
| Labor force - by occupation: | services: 46.4% (2016 est.) |
| Unemployment rate: | 2.4% (2016 est.) |
| Unemployment rate: | 2.5% (2015 est.) |
| Unemployment rate: | note: official rate; actual unemployment is much higher |
| Population below poverty line: | 31.5% (2016 est.) |
| Household income or consumption by percentage share: | lowest 10%: NA (2009 est.) |
| Household income or consumption by percentage share: | highest 10%: NA (2009 est.) |
| Distribution of family income - Gini index: | 32.6 (2006) |
| Distribution of family income - Gini index: | 34.7 (1998) |
| Budget: | revenues: 2.269 billion (2017 est.) |
| Budget: | expenditures: 2.374 billion (2017 est.) |
| Taxes and other revenues: | 31.8% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -1.5% (of GDP) (2017 est.) |
| Public debt: | 50.4% of GDP (2017 est.) |
| Public debt: | 42% of GDP (2016 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 7.3% (2017 est.) |
| Inflation rate (consumer prices): | 5.9% (2016 est.) |
| Central bank discount rate: | 16% (20 March 2017) |
| Central bank discount rate: | 6.5% (31 December 2012) |
| Commercial bank prime lending rate: | 30% (31 December 2017 est.) |
| Commercial bank prime lending rate: | 24.24% (31 December 2016 est.) |
| Stock of narrow money: | $1.389 billion (31 December 2017 est.) |
| Stock of narrow money: | $1.108 billion (31 December 2016 est.) |
| Stock of broad money: | $1.389 billion (31 December 2017 est.) |
| Stock of broad money: | $1.108 billion (31 December 2016 est.) |
| Stock of domestic credit: | $1.06 billion (31 December 2017 est.) |
| Stock of domestic credit: | $1.711 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | NA |
| Current account balance: | -$35 million (2017 est.) |
| Current account balance: | -$362 million (2016 est.) |
| Exports: | $873.1 million (2017 est.) |
| Exports: | $691.1 million (2016 est.) |
| Exports - partners: | Turkey 27.5%, China 17.7%, Russia 13.4%, Switzerland 12.5%, Algeria 8.2%, Iran 7.1% (2017) |
| Exports - commodities: | aluminum, electricity, cotton, fruits, vegetable oil, textiles |
| Imports: | $2.39 billion (2017 est.) |
| Imports: | $2.554 billion (2016 est.) |
| Imports - commodities: | petroleum products, aluminum oxide, machinery and equipment, foodstuffs |
| Imports - partners: | Russia 38%, Kazakhstan 19%, China 8.7%, Iran 4.4% (2017) |
| Reserves of foreign exchange and gold: | $1.292 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $652.8 million (31 December 2016 est.) |
| Debt - external: | $5.75 billion (31 December 2017 est.) |
| Debt - external: | $5.495 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $2.272 billion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $16.3 billion (31 December 2009) |
| Exchange rates: | Tajikistani somoni (TJS) per US dollar - |
| Exchange rates: | 8.764 (2017 est.) |
| Exchange rates: | 7.8358 (2016 est.) |
| Exchange rates: | 7.8358 (2015 est.) |
| Exchange rates: | 6.1631 (2014 est.) |
| Exchange rates: | 4.9348 (2013 est.) |
