| Economy | TRINIDAD AND TOBAGO |
| GDP - per capita (PPP): | $31,500 (2014 est.) |
| GDP - per capita (PPP): | $31,400 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 8% of GDP (2015 est.) |
| Gross national saving: | 18.1% of GDP (2014 est.) |
| Gross national saving: | 20.7% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 60.2% |
| GDP - composition, by end use: | government consumption: 13% |
| GDP - composition, by end use: | investment in fixed capital: 13.8% |
| GDP - composition, by end use: | investment in inventories: 0% |
| GDP - composition, by end use: | exports of goods and services: 44.4% |
| GDP - composition, by end use: | imports of goods and services: -31.5% (2014 est.) |
| GDP - composition, by sector of origin: | agriculture: 0.5% |
| GDP - composition, by sector of origin: | industry: 37.7% |
| GDP - composition, by sector of origin: | services: 61.4% (2015 est.) |
| Agriculture - products: | cocoa, dasheen, pumpkin, cassava, tomatoes, cucumbers, eggplant, hot pepper, pommecythere, coconut water, poultry |
| Industries: | petroleum and petroleum products, liquefied natural gas (LNG), methanol, ammonia, urea, steel products, beverages, food processing, cement, cotton textiles |
| Industrial production growth rate: | -5% (2015 est.) |
| Labor force: | 649,100 (2015 est.) |
| Labor force - by occupation: | agriculture: 3.6% |
| Labor force - by occupation: | manufacturing, mining, and quarrying: 11.2% |
| Labor force - by occupation: | construction and utilities: 85.2% |
| Labor force - by occupation: | services: 62.9% (2014 est.) |
| Unemployment rate: | 3.2% (2015 est.) |
| Unemployment rate: | 3.3% (2014 est.) |
| Population below poverty line: | 17% (2007 est.) |
| Household income or consumption by percentage share: | lowest 10%: NA% |
| Household income or consumption by percentage share: | highest 10%: NA% |
| Budget: | revenues: $8.731 billion |
| Budget: | expenditures: $9.758 billion (2014 est.) |
| Taxes and other revenues: | 34.3% of GDP (2014 est.) |
| Budget surplus (+) or deficit (-): | -4% of GDP (2014 est.) |
| Public debt: | 67.4% of GDP (2015 est.) |
| Public debt: | 57.6% of GDP (2014 est.) |
| Fiscal year: | 1 October - 30 September |
| Inflation rate (consumer prices): | 4.7% (2015 est.) |
| Inflation rate (consumer prices): | 5.7% (2014 est.) |
| Central bank discount rate: | 6.75% (04 March 2016 est.) |
| Central bank discount rate: | 6.75% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 8% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 7.9% (31 December 2014 est.) |
| Stock of narrow money: | $7.422 billion (31 December 2015 est.) |
| Stock of narrow money: | $6.907 billion (31 December 2014 est.) |
| Stock of broad money: | $13.51 billion (31 December 2014 est.) |
| Stock of broad money: | $11.94 billion (31 December 2013 est.) |
| Stock of domestic credit: | $7.432 billion (31 December 2014 est.) |
| Stock of domestic credit: | $6.93 billion (31 December 2013 est.) |
| Market value of publicly traded shares: | $177.4 million (31 December 2015 est.) |
| Market value of publicly traded shares: | $171.6 million (31 December 2014) |
| Market value of publicly traded shares: | $170 million (31 December 2013 est.) |
| Current account balance: | -$166 million (2015 est.) |
| Current account balance: | $1.822 billion (2014 est.) |
| Exports: | $11.81 billion (2014 est.) |
| Exports: | $12.77 billion (2013 est.) |
| Exports - commodities: | petroleum and petroleum products, liquefied natural gas, methanol, ammonia, urea, steel products, beverages, cereal and cereal products, cocoa, fish, preserved fruits, , cosmetics, household cleaners, plastic packaging |
| Exports - partners: | US 26.3%, Argentina 12%, Brazil 6.6%, Chile 5.3%, Dominican Republic 5.2%, Barbados 5% (2015) |
| Imports: | $8.386 billion (2014 est.) |
| Imports: | $8.871 billion (2013 est.) |
| Imports - commodities: | mineral fuels, lubricants, machinery, transportation equipment, manufactured goods, food, chemicals, live animals |
| Imports - partners: | US 35.6%, China 6.8%, Gabon 6.6% (2015) |
| Reserves of foreign exchange and gold: | $13.59 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $12.33 billion (31 December 2014 est.) |
| Debt - external: | $2.115 billion (31 December 2014 est.) |
| Debt - external: | $2.072 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $382.9 million (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $311.7 million (2014 est.) |
| Stock of direct foreign investment - abroad: | $1.266 billion (2014 est.) |
| Exchange rates: | Trinidad and Tobago dollars (TTD) per US dollar - |
| Exchange rates: | 6.57 (2016 est.) |
| Exchange rates: | 6.4 (2015 est.) |
| Exchange rates: | 6.4041 (2014 est.) |
| Exchange rates: | 6.4041 (2013 est.) |
| Exchange rates: | 6.39 (2012 est.) |
