| Economy | IRAQ |
| Inflation rate (consumer prices): | 1.4% (2015 est.) |
| Inflation rate (consumer prices): | 2.2% (2014 est.) |
| Central bank discount rate: | 6% (December 2012) |
| Central bank discount rate: | 6% (December 2011) |
| Commercial bank prime lending rate: | 6% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 6% (31 December 2014 est.) |
| Stock of narrow money: | $55.36 billion (31 December 2015 est.) |
| Stock of narrow money: | $62.34 billion (31 December 2014 est.) |
| Stock of broad money: | $80.83 billion (31 December 2015 est.) |
| Stock of broad money: | $78.65 billion (31 December 2014 est.) |
| Stock of domestic credit: | $1.773 million (31 December 2015 est.) |
| Stock of domestic credit: | $-718,800 (31 December 2014 est.) |
| Market value of publicly traded shares: | $4 billion (9 December 2011) |
| Market value of publicly traded shares: | $2.6 billion (31 July 2010) |
| Market value of publicly traded shares: | $2 billion (31 July 2009 est.) |
| Current account balance: | -$10.82 billion (2015 est.) |
| Current account balance: | -$1.732 billion (2014 est.) |
| Exports: | $54.67 billion (2015 est.) |
| Exports: | $83.98 billion (2014 est.) |
| Exports - commodities: | crude oil 84%, crude materials excluding fuels, food, live animals |
| Exports - partners: | China 22.6%, India 21.1%, South Korea 11.2%, US 7.8%, Italy 6.7%, Greece 6% (2015) |
| Imports: | $43.84 billion (2015 est.) |
| Imports: | $45.2 billion (2014 est.) |
| Imports - commodities: | food, medicine, manufactures |
| Imports - partners: | Turkey 20.7%, Syria 19.6%, China 19.2%, US 4.8%, Russia 4.4% (2015) |
| Reserves of foreign exchange and gold: | $54.06 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $66.35 billion (31 December 2014 est.) |
| Debt - external: | $60.28 billion (31 December 2015 est.) |
| Debt - external: | $58.14 billion (31 December 2014 est.) |
| Exchange rates: | Iraqi dinars (IQD) per US dollar - |
| Exchange rates: | 1,167.6 (2015 est.) |
| Exchange rates: | 1,166 (2014 est.) |
| Exchange rates: | 1,213.72 (2013 est.) |
| Exchange rates: | 1,166.17 (2012 est.) |
| Exchange rates: | 1,170 (2011 est.) |
