| Economy | SYRIA |
| Industries: | petroleum, textiles, food processing, beverages, tobacco, phosphate rock mining, cement, oil seeds crushing, automobile assembly |
| Industrial production growth rate: | -4.8% (2015 est.) |
| Labor force: | 3.577 million (2015 est.) |
| Labor force - by occupation: | agriculture: 17% |
| Labor force - by occupation: | industry: 16% |
| Labor force - by occupation: | services: 67% (2008 est.) |
| Unemployment rate: | 50% (2015 est.) |
| Unemployment rate: | 57.7% (2014 est.) |
| Population below poverty line: | 82.5% (2014 est.) |
| Household income or consumption by percentage share: | lowest 10%: NA% |
| Household income or consumption by percentage share: | highest 10%: NA% |
| Budget: | revenues: $3.9 billion |
| Budget: | expenditures: $5.7 billion |
| Budget: | note: government projections for FY2016 |
| Taxes and other revenues: | 15.9% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -7.3% of GDP (2016 est.) |
| Public debt: | 52% of GDP (2015 est.) |
| Public debt: | 48.8% of GDP (2014 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 38.1% (2015 est.) |
| Inflation rate (consumer prices): | 29.2% (2014 est.) |
| Central bank discount rate: | 0.75% (31 December 2015) |
| Central bank discount rate: | 5% (31 December 2014) |
| Commercial bank prime lending rate: | 27% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 18.5% (31 December 2014 est.) |
| Stock of narrow money: | $5.254 billion (31 December 2015 est.) |
| Stock of narrow money: | $6.718 billion (31 December 2014 est.) |
| Stock of broad money: | $11.05 billion (31 December 2014 est.) |
| Stock of broad money: | $12.71 billion (31 December 2013 est.) |
| Stock of domestic credit: | $5.285 billion (31 December 2015 est.) |
| Stock of domestic credit: | $8.6 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $NA |
| Current account balance: | -$3.148 billion (2015 est.) |
| Current account balance: | -$3.667 billion (2014 est.) |
| Exports: | $2.14 billion (2015 est.) |
| Exports: | $3.015 billion (2014 est.) |
| Exports - commodities: | crude oil, minerals, petroleum products, fruits and vegetables, cotton fiber, textiles, clothing, meat and live animals, wheat |
| Exports - partners: | Iraq 64.7%, Saudi Arabia 11.2%, Kuwait 7.1%, UAE 6.1%, Libya 4.6% (2015) |
| Imports: | $6.663 billion (2015 est.) |
| Imports: | $8.028 billion (2014 est.) |
| Imports - commodities: | machinery and transport equipment, electric power machinery, food and livestock, metal and metal products, chemicals and chemical products, plastics, yarn, paper |
| Imports - partners: | Saudi Arabia 28%, UAE 13.7%, Iran 10.1%, Turkey 9%, Iraq 8.3%, China 6.1% (2015) |
| Reserves of foreign exchange and gold: | $772.9 million (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $1.428 billion (31 December 2014 est.) |
| Debt - external: | $5.3 billion (31 December 2015 est.) |
| Debt - external: | $4.597 billion (31 December 2014 est.) |
| Exchange rates: | Syrian pounds (SYP) per US dollar - |
| Exchange rates: | 236.41 (2015 est.) |
| Exchange rates: | 153.695 (2014 est.) |
| Exchange rates: | 153.695 (2013 est.) |
| Exchange rates: | 64.39 (2012 est.) |
| Exchange rates: | 48.371 (2011 est.) |
