| Economy | Australia |
| Imports - partners: | China 18.4%, US 11.7%, Japan 7.9%, Singapore 6%, Germany 4.6%, Thailand 4.2%, South Korea 4.1% (2012) |
| Reserves of foreign exchange and gold: | $48.8 billion (31 December 2013 est.) |
| Reserves of foreign exchange and gold: | $49.15 billion (31 December 2012 est.) |
| Debt - external: | $1.506 trillion (31 December 2013 est.) |
| Debt - external: | $1.497 trillion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $661.6 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $610.8 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $440.1 billion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $426 billion (31 December 2012 est.) |
| Exchange rates: | Australian dollars (AUD) per US dollar - |
| Exchange rates: | 1.031 (2013 est.) |
| Exchange rates: | 0.9658 (2012 est.) |
| Exchange rates: | 1.0902 (2010) |
| Exchange rates: | 1.2822 (2009) |
| Exchange rates: | 1.2059 (2008) |
