| Economy | AUSTRALIA |
| Household income or consumption by percentage share: | lowest 10%: 2% |
| Household income or consumption by percentage share: | highest 10%: 25.4% (1994) |
| Distribution of family income - Gini index: | 30.3 (2008) |
| Distribution of family income - Gini index: | 35.2 (1994) |
| Budget: | revenues: $415.6 billion |
| Budget: | expenditures: $436.3 billion (2015 est.) |
| Taxes and other revenues: | 34% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -1.7% of GDP (2015 est.) |
| Public debt: | 44.2% of GDP (2015 est.) |
| Public debt: | 42.2% of GDP (2014 est.) |
| Fiscal year: | 1 July - 30 June |
| Inflation rate (consumer prices): | 1.5% (2015 est.) |
| Inflation rate (consumer prices): | 2.5% (2014 est.) |
| Central bank discount rate: | 3% (28 February 2013) |
| Central bank discount rate: | 4.35% (31 December 2010) |
| Central bank discount rate: | note: this is the Reserve Bank of Australia's "cash rate target," or policy rate |
| Commercial bank prime lending rate: | 5.58% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 5.95% (31 December 2014 est.) |
| Stock of narrow money: | $223.2 billion (31 December 2015 est.) |
| Stock of narrow money: | $224.9 billion (31 December 2014 est.) |
| Stock of broad money: | $1.661 trillion (31 December 2013 est.) |
| Stock of broad money: | $1.648 trillion (31 December 2012 est.) |
| Stock of domestic credit: | $1.986 trillion (31 December 2015 est.) |
| Stock of domestic credit: | $2.09 trillion (31 December 2014 est.) |
| Market value of publicly traded shares: | $1.286 trillion (31 December 2015 est.) |
| Market value of publicly traded shares: | $1.198 trillion (31 December 2014 est.) |
| Market value of publicly traded shares: | $1.455 trillion (31 December 2013 est.) |
| Current account balance: | -$56.2 billion (2015 est.) |
| Current account balance: | -$43.83 billion (2014 est.) |
| Exports: | $188.3 billion (2015 est.) |
| Exports: | $240.7 billion (2014 est.) |
| Exports - commodities: | coal, iron ore, gold, meat, wool, alumina, wheat, machinery and transport equipment |
| Exports - partners: | China 32.2%, Japan 15.9%, South Korea 7.1%, US 5.4%, India 4.2% (2015) |
| Imports: | $207.7 billion (2015 est.) |
| Imports: | $240.3 billion (2014 est.) |
| Imports - commodities: | machinery and transport equipment, computers and office machines, telecommunication equipment and parts; crude oil and petroleum products |
| Imports - partners: | China 23%, US 11.2%, Japan 7.4%, South Korea 5.5%, Thailand 5.1%, Germany 4.6% (2015) |
| Reserves of foreign exchange and gold: | $49.27 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $53.89 billion (31 December 2014 est.) |
| Debt - external: | $1.524 trillion (31 December 2015 est.) |
| Debt - external: | $1.552 trillion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $582.6 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $599.5 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $437.8 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $483.1 billion (31 December 2014 est.) |
| Exchange rates: | Australian dollars (AUD) per US dollar - |
| Exchange rates: | 1.3291 (2015 est.) |
| Exchange rates: | 1.1078 (2014 est.) |
| Exchange rates: | 1.1094 (2013 est.) |
| Exchange rates: | 0.97 (2012 est.) |
| Exchange rates: | 0.9695 (2011 est.) |
