| Economy | AUSTRALIA |
| Taxes and other revenues: | 33.3% of GDP (2014 est.) |
| Budget surplus (+) or deficit (-): | -1.9% of GDP (2014 est.) |
| Public debt: | 34.5% of GDP (2014 est.) |
| Public debt: | 33.1% of GDP (2013 est.) |
| Fiscal year: | 1 July - 30 June |
| Inflation rate (consumer prices): | 2.5% (2014 est.) |
| Inflation rate (consumer prices): | 2.5% (2013 est.) |
| Central bank discount rate: | 3% (28 February 2013) |
| Central bank discount rate: | 4.35% (31 December 2010) |
| Central bank discount rate: | note: this is the Reserve Bank of Australia's "cash rate target," or policy rate |
| Commercial bank prime lending rate: | 6% (31 December 2014 est.) |
| Commercial bank prime lending rate: | 6.18% (31 December 2013 est.) |
| Stock of narrow money: | $269.9 billion (31 December 2014 est.) |
| Stock of narrow money: | $244.1 billion (31 December 2013 est.) |
| Stock of broad money: | $1.661 trillion (31 December 2013 est.) |
| Stock of broad money: | $1.648 trillion (31 December 2012 est.) |
| Stock of domestic credit: | $2.247 trillion (31 December 2014 est.) |
| Stock of domestic credit: | $2.11 trillion (31 December 2013 est.) |
| Market value of publicly traded shares: | $1.286 trillion (31 December 2012 est.) |
| Market value of publicly traded shares: | $1.198 trillion (31 December 2011) |
| Market value of publicly traded shares: | $1.455 trillion (31 December 2010 est.) |
| Current account balance: | -$39.88 billion (2014 est.) |
| Current account balance: | -$43.82 billion (2013 est.) |
| Exports: | $250.8 billion (2014 est.) |
| Exports: | $254.8 billion (2013 est.) |
| Exports - commodities: | coal, iron ore, gold, meat, wool, alumina, wheat, machinery and transport equipment |
| Exports - partners: | China 36.1%, Japan 18%, South Korea 7.3% (2013) |
| Imports: | $245.9 billion (2014 est.) |
| Imports: | $250.5 billion (2013 est.) |
| Imports - commodities: | machinery and transport equipment, computers and office machines, telecommunication equipment and parts; crude oil and petroleum products |
| Imports - partners: | China 19.5%, US 10.4%, Japan 7.8%, Singapore 5.4%, Germany 4.7%, Thailand 4.7%, South Korea 4.2% (2013) |
| Reserves of foreign exchange and gold: | $65.1 billion (31 December 2014 est.) |
| Reserves of foreign exchange and gold: | $52.8 billion (31 December 2013 est.) |
| Debt - external: | $1.48 trillion (31 December 2014 est.) |
| Debt - external: | $1.459 trillion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $646.4 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $593.6 billion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $482.9 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $471.5 billion (31 December 2013 est.) |
| Exchange rates: | Australian dollars (AUD) per US dollar - |
| Exchange rates: | 1.098 (2014 est.) |
| Exchange rates: | 1.0358 (2013 est.) |
| Exchange rates: | 0.97 (2012 est.) |
| Exchange rates: | 0.9695 (2011 est.) |
| Exchange rates: | 1.0902 (2010) |
