| Economy | Switzerland |
| Stock of domestic credit: | $1.247 trillion (31 December 2012 est.) |
| Market value of publicly traded shares: | $1.079 trillion (31 December 2012 est.) |
| Market value of publicly traded shares: | $932.2 billion (31 December 2011) |
| Market value of publicly traded shares: | $1.229 trillion (31 December 2010 est.) |
| Current account balance: | $65.6 billion (2013 est.) |
| Current account balance: | $63.82 billion (2012 est.) |
| Exports: | $229.2 billion (2013 est.) |
| Exports: | $226 billion (2012 est.) |
| Exports: | note: trade data exclude trade with Switzerland |
| Exports - commodities: | machinery, chemicals, metals, watches, agricultural products |
| Exports - partners: | Germany 18.5%, United States 11.61%, Italy 7.61%, France 6.96%, United Kingdom 5.67% (2013 est.) |
| Imports: | $200.5 billion (2013 est.) |
| Imports: | $197.9 billion (2012 est.) |
| Imports - commodities: | machinery, chemicals, vehicles, metals; agricultural products, textiles |
| Imports - partners: | Germany 28.19%, Italy 10.46%, France 8.49%, United States 6.08%, China 5.75%, Austria 4.4% (2013 est.) |
| Reserves of foreign exchange and gold: | $536.3 billion (31 December 2013 est.) |
| Reserves of foreign exchange and gold: | $536.4 billion (31 December 2012 est.) |
| Debt - external: | $1.544 trillion (31 December 2012 est.) |
| Debt - external: | $1.424 trillion (31 December 2011) |
| Stock of direct foreign investment - at home: | $968.9 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $955.1 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $1.432 trillion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $1.381 trillion (31 December 2012 est.) |
| Exchange rates: | Swiss francs (CHF) per US dollar - |
| Exchange rates: | 0.9542 (2013 est.) |
| Exchange rates: | 0.9374 (2012 est.) |
| Exchange rates: | 1.0429 (2010 est.) |
| Exchange rates: | 1.0881 (2009) |
| Exchange rates: | 1.0774 (2008) |
