| Economy | SWITZERLAND |
| Inflation rate (consumer prices): | -0.4% (2016 est.) |
| Inflation rate (consumer prices): | -1.1% (2015 est.) |
| Central bank discount rate: | 0.5% (31 December 2016) |
| Central bank discount rate: | 0.75% (31 December 2009) |
| Commercial bank prime lending rate: | 2.65% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 2.68% (31 December 2015 est.) |
| Stock of narrow money: | $555.7 billion (31 December 2016 est.) |
| Stock of narrow money: | $508.2 billion (31 December 2015 est.) |
| Stock of broad money: | $1.232 trillion (31 December 2016 est.) |
| Stock of broad money: | $1.21 trillion (31 December 2015 est.) |
| Stock of domestic credit: | $1.166 trillion (31 December 2016 est.) |
| Stock of domestic credit: | $1.142 trillion (31 December 2015 est.) |
| Market value of publicly traded shares: | $1.519 trillion (31 December 2015 est.) |
| Market value of publicly traded shares: | $1.495 trillion (31 December 2014 est.) |
| Market value of publicly traded shares: | $1.541 trillion (31 December 2013 est.) |
| Current account balance: | $70.54 billion (2016 est.) |
| Current account balance: | $77.38 billion (2015 est.) |
| Exports: | $318.1 billion (2016 est.) |
| Exports: | $303.1 billion (2015 est.) |
| Exports: | note: trade data exclude trade with Switzerland |
| Exports - commodities: | machinery, chemicals, metals, watches, agricultural products |
| Exports - partners: | Germany 14.4%, US 12.1%, UK 10.7%, China 9%, Hong Kong 6.1%, France 5.8%, Italy 4.9%, India 4.8% (2016) |
| Imports: | $264.9 billion (2016 est.) |
| Imports: | $249.5 billion (2015 est.) |
| Imports - commodities: | machinery, chemicals, vehicles, metals; agricultural products, textiles |
| Imports - partners: | Germany 19.4%, US 9%, Italy 7.4%, UK 7.1%, UAE 6.2%, France 6.1%, China 4.7% (2016) |
| Reserves of foreign exchange and gold: | $679.3 billion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $602.7 billion (31 December 2015 est.) |
| Debt - external: | $1.664 trillion (31 March 2016 est.) |
| Debt - external: | $1.663 trillion (31 March 2015 est.) |
| Stock of direct foreign investment - at home: | $1.217 trillion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $1.255 trillion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $1.528 trillion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $1.51 trillion (31 December 2015 est.) |
| Exchange rates: | Swiss francs (CHF) per US dollar - |
| Exchange rates: | 0.9852 (2016 est.) |
| Exchange rates: | 0.9852 (2015 est.) |
| Exchange rates: | 0.9627 (2014 est.) |
| Exchange rates: | 0.9152 (2013 est.) |
| Exchange rates: | 0.9377 (2012 est.) |
