| Economy | SPAIN |
| Unemployment rate: | 26.1% (2013 est.) |
| Population below poverty line: | 21.1% (2012 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.5% |
| Household income or consumption by percentage share: | highest 10%: 24% (2011) |
| Distribution of family income - Gini index: | 34 (2011) |
| Distribution of family income - Gini index: | 32 (2005) |
| Budget: | revenues: $529.7 billion |
| Budget: | expenditures: $608.8 billion (2014 est.) |
| Taxes and other revenues: | 37.8% of GDP (2014 est.) |
| Budget surplus (+) or deficit (-): | -5.6% of GDP (2014 est.) |
| Public debt: | 97.7% of GDP (2014 est.) |
| Public debt: | 91.6% of GDP (2013 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | -0.2% (2014 est.) |
| Inflation rate (consumer prices): | 1.5% (2013 est.) |
| Central bank discount rate: | 0.05% (10 September 2014) |
| Central bank discount rate: | 0.25% (13 November 2013) |
| Central bank discount rate: | note: this is the European Central Bank's rate on the marginal lending facility, which offers overnight credit to banks in the euro area |
| Commercial bank prime lending rate: | 9.4% (31 December 2014 est.) |
| Commercial bank prime lending rate: | 9.34% (31 December 2013 est.) |
| Stock of narrow money: | $876.9 billion (31 December 2014 est.) |
| Stock of narrow money: | $854 billion (31 December 2013 est.) |
| Stock of narrow money: | note: see entry for the European Union for money supply for the entire euro area; the European Central Bank (ECB) controls monetary policy for the 18 members of the Economic and Monetary Union (EMU); individual members of the EMU do not control the quantity of money circulating within their own borders |
| Stock of broad money: | $2.01 trillion (31 December 2014 est.) |
| Stock of broad money: | $2.13 trillion (31 December 2013 est.) |
| Stock of domestic credit: | $2.611 trillion (31 December 2014 est.) |
| Stock of domestic credit: | $2.902 trillion (31 December 2013 est.) |
| Market value of publicly traded shares: | $995.1 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $1.031 trillion (31 December 2011) |
| Market value of publicly traded shares: | $1.172 trillion (31 December 2010 est.) |
| Current account balance: | $1.598 billion (2014 est.) |
| Current account balance: | $10.67 billion (2013 est.) |
| Exports: | $317.3 billion (2014 est.) |
| Exports: | $311.4 billion (2013 est.) |
| Exports - commodities: | machinery, motor vehicles; foodstuffs, pharmaceuticals, medicines, other consumer goods |
| Exports - partners: | France 16.2%, Germany 10.7%, Portugal 7.6%, Italy 7.3%, UK 7.1% (2014) |
| Imports: | $337.9 billion (2014 est.) |
| Imports: | $326.5 billion (2013 est.) |
| Imports - commodities: | machinery and equipment, fuels, chemicals, semi-finished goods, foodstuffs, consumer goods, measuring and medical control instruments |
| Imports - partners: | Germany 13.4%, France 11.9%, Italy 6.2%, China 6.1%, Netherlands 4.8%, UK 4.4% (2014) |
| Reserves of foreign exchange and gold: | $46.31 billion (31 December 2013 est.) |
| Debt - external: | $2.278 trillion (31 December 2012 est.) |
| Debt - external: | $2.269 trillion (31 December 2011) |
| Stock of direct foreign investment - at home: | $851.2 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $801.8 billion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $770.8 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $729.3 billion (31 December 2013 est.) |
| Exchange rates: | euros (EUR) per US dollar - |
| Exchange rates: | 0.7489 (2014 est.) |
| Exchange rates: | 0.7634 (2013 est.) |
| Exchange rates: | 0.78 (2012 est.) |
| Exchange rates: | 0.7185 (2011 est.) |
| Exchange rates: | 0.755 (2010 est.) |
