| Economy | Nepal |
| Commercial bank prime lending rate: | 11.3% (31 December 2017 est.) |
| Commercial bank prime lending rate: | 8.9% (31 December 2016 est.) |
| Stock of narrow money: | $5.505 billion (31 December 2017 est.) |
| Stock of narrow money: | $4.857 billion (31 December 2016 est.) |
| Stock of broad money: | $5.505 billion (31 December 2017 est.) |
| Stock of broad money: | $4.857 billion (31 December 2016 est.) |
| Stock of domestic credit: | $21.99 billion (31 December 2017 est.) |
| Stock of domestic credit: | $17.94 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | $17.57 billion (31 October 2017 est.) |
| Market value of publicly traded shares: | $19.4 billion (31 October 2016 est.) |
| Market value of publicly traded shares: | $11.37 billion (31 October 2015 est.) |
| Current account balance: | -$93 million (2017 est.) |
| Current account balance: | $1.339 billion (2016 est.) |
| Exports: | $818.7 million (2017 est.) |
| Exports: | $761.6 million (2016 est.) |
| Exports - partners: | India 53.1%, US 11.8%, Turkey 7.2% (2017) |
| Exports - commodities: | clothing, pulses, carpets, textiles, juice, jute goods |
| Imports: | $10 billion (2017 est.) |
| Imports: | $8.764 billion (2016 est.) |
| Imports - commodities: | petroleum products, machinery and equipment, gold, electrical goods, medicine |
| Imports - partners: | India 70.2%, China 7.5% (2017) |
| Reserves of foreign exchange and gold: | $9.091 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $8.506 billion (31 December 2016 est.) |
| Debt - external: | $5.849 billion (31 December 2017 est.) |
| Debt - external: | $4.321 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $103 million (31 July 2013 est.) |
| Stock of direct foreign investment - abroad: | NA |
| Exchange rates: | Nepalese rupees (NPR) per US dollar - |
| Exchange rates: | 104 (2017 est.) |
| Exchange rates: | 107.38 (2016 est.) |
| Exchange rates: | 107.38 (2015 est.) |
| Exchange rates: | 102.41 (2014 est.) |
| Exchange rates: | 99.53 (2013 est.) |
