| Economy | Egypt |
| Imports: | $60.26 billion (2012 est.) |
| Imports - commodities: | machinery and equipment, foodstuffs, chemicals, wood products, fuels |
| Imports - partners: | China 9.5%, US 7.6%, Germany 6.7%, Russia 5.3%, Ukraine 5.3%, Turkey 5.1%, Italy 5% (2012) |
| Reserves of foreign exchange and gold: | $17.03 billion (31 December 2013 est.) |
| Reserves of foreign exchange and gold: | $14.93 billion (31 December 2012 est.) |
| Debt - external: | $48.76 billion (31 December 2013 est.) |
| Debt - external: | $38.69 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $76.76 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $75.41 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $6.475 billion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $6.285 billion (31 December 2012 est.) |
| Exchange rates: | Egyptian pounds (EGP) per US dollar - |
| Exchange rates: | 6.91 (2013 est.) |
| Exchange rates: | 6.0608 (2012 est.) |
| Exchange rates: | 5.6219 (2010 est.) |
| Exchange rates: | 5.545 (2009) |
| Exchange rates: | 5.4 (2008) |
