| Economy | Egypt |
| Stock of domestic credit: | $178.7 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | $27.35 billion (30 December 2016 est.) |
| Market value of publicly traded shares: | $25.07 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $26.33 billion (31 December 2014 est.) |
| Current account balance: | -$14.92 billion (2017 est.) |
| Current account balance: | -$19.83 billion (2016 est.) |
| Exports: | $23.3 billion (2017 est.) |
| Exports: | $20.02 billion (2016 est.) |
| Exports - partners: | UAE 10.9%, Italy 10%, US 7.4%, UK 5.7%, Turkey 4.4%, Germany 4.3%, India 4.3% (2017) |
| Exports - commodities: | crude oil and petroleum products, fruits and vegetables, cotton, textiles, metal products, chemicals, processed food |
| Imports: | $59.78 billion (2017 est.) |
| Imports: | $57.84 billion (2016 est.) |
| Imports - commodities: | machinery and equipment, foodstuffs, chemicals, wood products, fuels |
| Imports - partners: | China 7.9%, UAE 5.2%, Germany 4.8%, Saudi Arabia 4.6%, US 4.4%, Russia 4.3% (2017) |
| Reserves of foreign exchange and gold: | $35.89 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $23.2 billion (31 December 2016 est.) |
| Debt - external: | $77.47 billion (31 December 2017 est.) |
| Debt - external: | $62.38 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $106.6 billion (31 December 2017 est.) |
| Stock of direct foreign investment - at home: | $97.14 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $7.426 billion (31 December 2017 est.) |
| Stock of direct foreign investment - abroad: | $7.257 billion (31 December 2016 est.) |
| Exchange rates: | Egyptian pounds (EGP) per US dollar - |
| Exchange rates: | 18.05 (2017 est.) |
| Exchange rates: | 8.8 (2016 est.) |
| Exchange rates: | 10.07 (2015 est.) |
| Exchange rates: | 7.7133 (2014 est.) |
| Exchange rates: | 7.08 (2013 est.) |
