| Economy | Egypt |
| Public debt: | note: data cover central government debt and include debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intragovernmental debt; intragovernmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are sold at public auctions |
| Fiscal year: | 1 July - 30 June |
| Current account balance: | -$8.915 billion (2019 est.) |
| Current account balance: | -$7.682 billion (2018 est.) |
| Exports: | $87.891 billion (2018 est.) |
| Exports: | $66.506 billion (2017 est.) |
| Exports - partners: | UAE 10.9%, Italy 10%, US 7.4%, UK 5.7%, Turkey 4.4%, Germany 4.3%, India 4.3% (2017) |
| Exports - commodities: | crude oil and petroleum products, fruits and vegetables, cotton, textiles, metal products, chemicals, processed food |
| Imports: | $115.345 billion (2018 est.) |
| Imports: | $103.636 billion (2017 est.) |
| Imports - commodities: | machinery and equipment, foodstuffs, chemicals, wood products, fuels |
| Imports - partners: | China 7.9%, UAE 5.2%, Germany 4.8%, Saudi Arabia 4.6%, US 4.4%, Russia 4.3% (2017) |
| Reserves of foreign exchange and gold: | $35.89 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $23.2 billion (31 December 2016 est.) |
| Debt - external: | $77.47 billion (31 December 2017 est.) |
| Debt - external: | $62.38 billion (31 December 2016 est.) |
| Exchange rates: | Egyptian pounds (EGP) per US dollar - |
| Exchange rates: | 15.69 (2020 est.) |
| Exchange rates: | 16.14 (2019 est.) |
| Exchange rates: | 17.90999 (2018 est.) |
| Exchange rates: | 7.7133 (2014 est.) |
| Exchange rates: | 7.08 (2013 est.) |
