| Economy | Serbia |
| GDP - per capita (PPP): | $10,500 (2010 est.) |
| GDP - per capita (PPP): | note: data are in 2012 US dollars |
| GDP - composition by sector: | agriculture: 10.6% |
| GDP - composition by sector: | industry: 18.6% |
| GDP - composition by sector: | services: 70.8% (2012 est.) |
| Labor force: | 3.17 million (2012 est.) |
| Labor force - by occupation: | agriculture: 21.9% |
| Labor force - by occupation: | industry: 19.5% |
| Labor force - by occupation: | services: 58.6% (2010) |
| Unemployment rate: | 25.9% (2012 est.) |
| Unemployment rate: | 23.7% (2011 est.) |
| Population below poverty line: | 9.2% (2010 est.) |
| Distribution of family income - Gini index: | 28.2 (2008) |
| Distribution of family income - Gini index: | 30 (2003) |
| Investment (gross fixed): | 18.4% of GDP (2012 est.) |
| Budget: | revenues: $15.24 billion |
| Budget: | expenditures: $17.75 billion (2012 est.) |
| Taxes and other revenues: | 41% of GDP (2012 est.) |
| Budget surplus (+) or deficit (-): | -6.7% of GDP (2012 est.) |
| Public debt: | 60% of GDP (2012 est.) |
| Public debt: | 45.1% of GDP (2011 est.) |
| Public debt: | note: data cover general government debt, and includes debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment. Debt instruments for the social funds are not sold at public auctions. |
| Inflation rate (consumer prices): | 6.2% (2012 est.) |
| Inflation rate (consumer prices): | 11.2% (2011 est.) |
| Central bank discount rate: | 9.75% (15 December 2011) |
| Central bank discount rate: | 12% (17 January 2011) |
| Commercial bank prime lending rate: | 15% (31 December 2012 est.) |
| Commercial bank prime lending rate: | 17.2% (31 December 2011 est.) |
| Stock of narrow money: | $5.783 billion (31 December 2011 est.) |
| Stock of narrow money: | $5.002 billion (31 December 2010 est.) |
| Stock of broad money: | $17.31 billion (31 December 2012 est.) |
| Stock of broad money: | $18.55 billion (31 December 2011 est.) |
| Stock of domestic credit: | $19.8 billion (31 December 2012 est.) |
| Stock of domestic credit: | $21.43 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $8.365 billion (31 December 2011) |
| Market value of publicly traded shares: | $9.69 billion (31 December 2010) |
| Market value of publicly traded shares: | $11.52 billion (31 December 2009) |
| Agriculture - products: | wheat, maize, sugar beets, sunflower, raspberries; beef, pork, milk |
| Industrial production growth rate: | 2.1% (2011 est.) |
| Current account balance: | -$4.336 billion (2012 est.) |
| Current account balance: | -$4.122 billion (2011 est.) |
| Exports: | $12.25 billion (2012 est.) |
| Exports: | $11.78 billion (2011 est.) |
| Exports - commodities: | iron and steel, rubber, clothes, wheat, fruit and vegetables, nonferrous metals, electric appliances, metal products, weapons and ammunition |
| Imports: | $20.42 billion (2012 est.) |
| Imports: | $19.45 billion (2011 est.) |
| Reserves of foreign exchange and gold: | $16.2 billion (31 December 2012 est.) |
| Reserves of foreign exchange and gold: | $15.6 billion (31 December 2011 est.) |
| Debt - external: | $32.6 billion (31 December 2012 est.) |
| Debt - external: | $31.53 billion (31 December 2011 est.) |
| Stock of direct foreign investment - at home: | $27 billion (31 December 2009 est.) |
| Stock of direct foreign investment - at home: | $11.95 billion (2006 est.) |
| Stock of direct foreign investment - abroad: | $NA |
| Exchange rates: | Serbian dinars (RSD) per US dollar - |
| Exchange rates: | 90.35 (2012 est.) |
| Exchange rates: | 72.455 (2011 est.) |
| Exchange rates: | 77.729 (2010 est.) |
| Exchange rates: | 67.634 (2009) |
| Exchange rates: | 62.9 (2008) |
