| Economy | SERBIA |
| Imports - partners: | Germany 12.4%, Italy 10.6%, Russia 9.6%, China 8.5%, Hungary 4.8%, Poland 4.2% (2015) |
| Reserves of foreign exchange and gold: | $11.35 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $12.05 billion (31 December 2014 est.) |
| Debt - external: | $32.44 billion (31 December 2015 est.) |
| Debt - external: | $33.1 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $36.67 billion (31 December 2009 est.) |
| Stock of direct foreign investment - at home: | $11.95 billion (2006 est.) |
| Stock of direct foreign investment - abroad: | $NA |
| Exchange rates: | Serbian dinars (RSD) per US dollar - |
| Exchange rates: | 108.811 (2015 est.) |
| Exchange rates: | 88.405 (2014 est.) |
| Exchange rates: | 88.405 (2013 est.) |
| Exchange rates: | 87.99 (2012 est.) |
| Exchange rates: | 72.455 (2011 est.) |
