| Economy | Eswatini |
| GDP - composition, by sector of origin: | agriculture: 6.5% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 45% (2017 est.) |
| GDP - composition, by sector of origin: | services: 48.6% (2017 est.) |
| Agriculture - products: | sugarcane, corn, cotton, citrus, pineapples, cattle, goats |
| Industries: | soft drink concentrates, coal, forestry, sugar processing, textiles, and apparel |
| Industrial production growth rate: | 5.6% (2017 est.) |
| Labor force: | 427,900 (2016 est.) |
| Labor force - by occupation: | agriculture: 10.7% |
| Labor force - by occupation: | industry: 30.4% |
| Labor force - by occupation: | services: 58.9% (2014 est.) |
| Unemployment rate: | 28% (2014 est.) |
| Unemployment rate: | 28% (2013 est.) |
| Population below poverty line: | 63% (2010 est.) |
| Household income or consumption by percentage share: | lowest 10%: 1.7% |
| Household income or consumption by percentage share: | highest 10%: 40.1% (2010 est.) |
| Distribution of family income - Gini index: | 50.4 (2001) |
| Budget: | revenues: 1.263 billion (2017 est.) |
| Budget: | expenditures: 1.639 billion (2017 est.) |
| Taxes and other revenues: | 28.6% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -8.5% (of GDP) (2017 est.) |
| Public debt: | 28.4% of GDP (2017 est.) |
| Public debt: | 25.5% of GDP (2016 est.) |
| Fiscal year: | 1 April - 31 March |
| Inflation rate (consumer prices): | 6.2% (2017 est.) |
| Inflation rate (consumer prices): | 7.8% (2016 est.) |
| Central bank discount rate: | 7.25% (31 December 2016) |
| Central bank discount rate: | 6.5% (31 December 2015) |
| Commercial bank prime lending rate: | 10.75% (31 December 2017 est.) |
| Commercial bank prime lending rate: | 10.25% (31 December 2016 est.) |
| Stock of narrow money: | $554.3 million (31 December 2017 est.) |
| Stock of narrow money: | $439 million (31 December 2016 est.) |
| Stock of broad money: | $554.3 million (31 December 2017 est.) |
| Stock of broad money: | $439 million (31 December 2016 est.) |
| Stock of domestic credit: | $1.144 billion (31 December 2017 est.) |
| Stock of domestic credit: | $891.3 million (31 December 2016 est.) |
| Market value of publicly traded shares: | $203.1 million (31 December 2007) |
| Market value of publicly traded shares: | $199.9 million (31 December 2006) |
| Market value of publicly traded shares: | NA |
| Current account balance: | $604 million (2017 est.) |
| Current account balance: | $642 million (2016 est.) |
| Exports: | $1.83 billion (2017 est.) |
| Exports: | $1.577 billion (2016 est.) |
| Exports - partners: | South Africa 94% (2017) |
| Exports - commodities: | soft drink concentrates, sugar, timber, cotton yarn, refrigerators, citrus, and canned fruit |
| Imports: | $1.451 billion (2017 est.) |
| Imports: | $1.266 billion (2016 est.) |
| Imports - commodities: | motor vehicles, machinery, transport equipment, foodstuffs, petroleum products, chemicals |
| Imports - partners: | South Africa 81.6%, China 5.2% (2017) |
| Reserves of foreign exchange and gold: | $563.1 million (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $564.4 million (31 December 2016 est.) |
| Debt - external: | $526.3 million (31 December 2017 est.) |
| Debt - external: | $468.9 million (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | NA |
| Stock of direct foreign investment - abroad: | NA |
| Exchange rates: | emalangeni per US dollar - |
| Exchange rates: | 14.44 (2017 est.) |
| Exchange rates: | 14.6924 (2016 est.) |
| Exchange rates: | 14.6924 (2015 est.) |
| Exchange rates: | 12.7581 (2014 est.) |
| Exchange rates: | 10.8469 (2013 est.) |
