| Economy | SWAZILAND |
| Inflation rate (consumer prices): | 5% (2015 est.) |
| Central bank discount rate: | 7.25% (31 December 2016) |
| Central bank discount rate: | 6.5% (31 December 2015) |
| Commercial bank prime lending rate: | 10.3% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 9.04% (31 December 2015 est.) |
| Stock of narrow money: | $316.6 million (31 December 2016 est.) |
| Stock of narrow money: | $304.6 million (31 December 2015 est.) |
| Stock of broad money: | $1.015 billion (31 December 2016 est.) |
| Stock of broad money: | $848.8 million (31 December 2015 est.) |
| Stock of domestic credit: | $890.5 million (31 December 2016 est.) |
| Stock of domestic credit: | $557.8 million (31 December 2015 est.) |
| Market value of publicly traded shares: | $NA |
| Market value of publicly traded shares: | $203.1 million (31 December 2007) |
| Market value of publicly traded shares: | $199.9 million (31 December 2006) |
| Current account balance: | $26 million (2016 est.) |
| Current account balance: | $280.5 million (2015 est.) |
| Exports: | $1.577 billion (2016 est.) |
| Exports: | $1.647 billion (2015 est.) |
| Exports - commodities: | soft drink concentrates, sugar, timber, cotton yarn, refrigerators, citrus, and canned fruit |
| Exports - partners: | South Africa 87.1%, Namibia 4% (2016) |
| Imports: | $1.405 billion (2016 est.) |
| Imports: | $1.387 billion (2015 est.) |
| Imports - commodities: | motor vehicles, machinery, transport equipment, foodstuffs, petroleum products, chemicals |
| Imports - partners: | South Africa 60.3%, China 5.3%, Mozambique 5.1% (2016) |
| Reserves of foreign exchange and gold: | $564.4 million (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $548 million (31 December 2015 est.) |
| Debt - external: | $468.9 million (31 December 2016 est.) |
| Debt - external: | $390.8 million (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $NA |
| Stock of direct foreign investment - abroad: | $NA |
| Exchange rates: | emalangeni per US dollar - |
| Exchange rates: | 14.6924 (2016 est.) |
| Exchange rates: | 14.6924 (2015 est.) |
| Exchange rates: | 12.7581 (2014 est.) |
| Exchange rates: | 10.8469 (2013 est.) |
| Exchange rates: | 8.2 (2012 est.) |
